Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
なんら～ない,なんらV－ない,,①彼らがどう言おうと、私にはなんらかかわりのないことだ。,,,,,,,,
なんら～ない,なんらのNもV－ない,,①彼らの対応にはなんらの誠意も感じられない。,,,,,,,,
に,R－にV,,①待ちに待った帰国の日がついにやってきた。,,,,,,,,
に,V－るにV－れない,,①人手が足りないのでやめるにやめられない。,,,,,,,,
にあたって,Nにあたって　V－るにあたって,,①開会にあたってひとことご挨拶を申し上げます。,,,,,,,,
にあたり,Nにあたり　V－るにあたり,,①代表団の選出にあたり、被選挙人名簿を作成した。,,,,,,,,
にあって,Nにあって,,①異国の地にあって、仕事を探すこともままならない。,,,,,,,,
にあって,Nにあっても,,①彼は苦境にあっても、まげずに頑張っている。,,,,,,,,
にあって,Nにあっては＜状況＞,,①こんな厳寒の地にあっては、新鮮な野菜が食卓に上るなど、滅多にないことだ。,,,,,,,,
にあって,Nにあっては＜人＞,,①高橋さんにあっては、どんな強敵でも勝てそうにありませんね。,,,,,,,,
にいたる,書きことば的な表現。～にいたる　N／V　にいたる,,①この川は大草原を横切って流れ、やがては海に至る。,,,,,,,,
にいたる,Nにいたるまで,,①旅行中に買ったものからハンドバッグの中身に至るまで、厳しく調べられた。,,,,,,,,
にいたる,～にいたって　N／V　にいたって,,①編集段階に至って、初めて撮影したビデオの映像が使いものにならないことがわかったが、すでに遅かった。,,,,,,,,
にいたる,Nにいたっては,,①父も母も私の転職に大反対し、姉にいたっては、そんなことより早く結婚しろと言い出す始末だった。,,,,,,,,
にいたる,～にいたっても　N／V　にいたっても,,①投票率が史上最低という事態に至っても、なお自分たちが国民から信頼されていると信じて疑わない政治家も少なくない。,,,,,,,,
にいわせれば,Nにいわせれば,,①あの人に言わせれば、こんな辞書はまったく使いものにならないということらしい。,,,,,,,,
において,Nにおいて＜状況＞,,①卒業式は大講堂において行われた。,,,,,,,,
において,Nにおいて＜領域＞,,①絵付けの技術において彼にかなうものはいない。,,,,,,,,
におうじて,Nにおうじて,,①物価の変動に応じて給料を上げる。,,,,,,,,
におかれましては,Nにおかれましては,,①先生におかれましては、お元気そうでなによりです。,,,,,,,,
