Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
もし,もし．．．ても／．．．としても,,①天気予報では曇りですが、もし雨でも遠足は決行します。,,,,,,,,,,,,,,,,,,,
もしかしたら,もしかしたら～かもしれない,,①仕事の量が減ったから、もしかしたらわたしも日曜日に出かけられるかもしれない。,,,,,,,,,,,,,,,,,,,
もしかしたら,もしかしたら～か,,①A：あの人、もしかしたら、山本さんじゃないですか。B：ええ。そうですよ。ご存じですか。,,,,,,,,,,,,,,,,,,,
もしくは,書きことば。「XもしくはY」の形で使われる。公式の文章などによく使われるかたい表現で、日常の話しことばでは使わない。日常の話しことばでは「XかY」が、よく使われる。NもしくはN,,①黒もしくは青のインクを使用すること。,,,,,,,,,,,,,,,,,,,
もしくは,V－るか、もしくは,,①応募書類は、5月十日までに郵送するか、もしくは持参すること。,,,,,,,,,,,,,,,,,,,
もしも,「もし」をさらに強調した語で、「かりにそうならば」という意味を表す。もしも～たら,,①もしも家が買えるなら、海辺の洋館がいい。,,,,,,,,,,,,,,,,,,,
もしも,もしものN,,①父にもしものことがあったらどうしよう。,,,,,,,,,,,,,,,,,,,
もちろん,もちろん,,①A：一緒に行きますか。B：もちろん。,,,,,,,,,,,,,,,,,,,
もちろん,Nはもちろん,,①彼は、英語はもちろん、ドイツ語も中国語もできる。,,,,,,,,,,,,,,,,,,,
もって1,Nをもって,,①自信をもってがんばってね。,,,,,,,,,,,,,,,,,,,
もって2,Nをもって,,①このレポートをもって、結果報告とする。,,,,,,,,,,,,,,,,,,,
もって2,Nをもちまして,,①本日をもちまして当劇場は閉館いたします。,,,,,,,,,,,,,,,,,,,
もっと,,,①もっと大きい声で話してくれませんか。,,,,,,,,,,,,,,,,,,,
もっとも,もっとも,,①レポートは来週提出して下さい。もっとも、はやくできた人は今日出してもかまいません。,,,,,,,,,,,,,,,,,,,
もっとも,もっとも～が／～けと,,①あしたから旅行に行きます。もっとも二、三日の旅行ですが。,,,,,,,,,,,,,,,,,,,
もっぱら,もっぱら,,①世間ではもっぱら消費税のことでもちきりだ。,,,,,,,,,,,,,,,,,,,
もっぱら,もっぱらのN,,①K監督の新作が面白いともっぱらの評判だ。,,,,,,,,,,,,,,,,,,,
もと,Nのもと（で）,,①子供は太陽のもとで思いきりはねまわるのが一番だ。,,,,,,,,,,,,,,,,,,,
もと,Nのもとに,,①両親の了解のもとに3年間の留学が可能になった。,,,,,,,,,,,,,,,,,,,
もともと,もともと,,①その本はもともと彼のものだったんだ。だから、彼に返すのは当然のことだ。,,,,,,,,,,,,,,,,,,,
