Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
なら3,NがNならNもNだ,N2,,①親が親なら子も子だ。,,,,,,,,,,,,,,,,,,,
なら3,～なら（ば）　A／V　なら（ば）,N3,,①今年も真夏の日照時間が短い／短かったならば米不足の問題は深刻だ。,,,,,,,,,,,,,,,,,,,
なら3,だったなら　A－かったなら　V－たなら,N3,,①私が全能の神様だったなら、あなたを助けてあげられるのに。,,,,,,,,,,,,,,,,,,,
なら3,V－るなら＜観点＞,N2,,①事情を知らない人の目から見るなら、少しおおげさな感じがするかもしれない。,,,,,,,,,,,,,,,,,,,
ならいい,ならいい　A／V（の）ならいい,N4,,①お母さんが病気ならいいよ。早く家に帰ってあげなさい。,,,,,,,,,,,,,,,,,,,
ならでは,Nならでは,N2,,①親友ならではの細かい心遣いが嬉しかった。,,,,,,,,,,,,,,,,,,,
ならびに,NならびにN,N1,,①各国の首相ならびに外相が式典に参列した。,,,,,,,,,,,,,,,,,,,
なり1,V－るなり,N2,,①家に帰るなり自分の部屋に閉じ込もって出てこない。,,,,,,,,,,,,,,,,,,,
なり1,V－たなり（で）,N2,,①座ったなり動こうともしない。,,,,,,,,,,,,,,,,,,,
なり1,V－たなり,N2,,①家を出たなり一ケ月も帰ってこなかった。,,,,,,,,,,,,,,,,,,,
なり2,～なり　Nなり　V－るなり,N2,,①何かお飲物なりお持ちしましょうか。,,,,,,,,,,,,,,,,,,,
なり2,V－るなりV－ないなり,N2,,①行くなり行かないなりはっきり決めてほしい。,,,,,,,,,,,,,,,,,,,
なり2,～なり～なり　NなりNなり　V－るなりV－るなり,N2,,①彼の父親なり母親なりに相談しなければならないだろう。,,,,,,,,,,,,,,,,,,,
なり2,～なりなんなり　N／V　なりなんなり,N2,,①チューリップなりなんなり、少し目立つ花を買ってきて下さい。,,,,,,,,,,,,,,,,,,,
なり3,～なり　Nなり　A－いなり,N2,,①私なりに努力はしてみましたが、力が及びませんでした。,,,,,,,,,,,,,,,,,,,
なり3,～なり　Nなり　V－るなり,N2,,①彼は妻の言うなりになっている。,,,,,,,,,,,,,,,,,,,
なり3,～なら～なり　NならNなり　NaならNaなり　A－いならA－いなり　V－るならV－るなり,N2,,①嫌なら嫌なりの理由があるはずだ。,,,,,,,,,,,,,,,,,,,
なり3,には～なり　NにはNなり　V－るにはV－るなり,N2,,①若い人には若い人なりの考えがあるだろう。,,,,,,,,,,,,,,,,,,,
なり3,NはNなり,N2,,①彼らは彼らなりにいろいろ努力しているのだから、それは認めてやってほしい。,,,,,,,,,,,,,,,,,,,
なり3,それなり,N2,,①小さな会社だがそれなりの利益は上げている。,,,,,,,,,,,,,,,,,,,
