Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
における,NにおけるN,,①過去における過ちを謝罪する。,,,,,,,,,,,,,,,,,,,
にかかっては,Nにかかっては,,①彼の毒舌にかかっては社長も太刀打ちできない。,,,,,,,,,,,,,,,,,,,
にかかわらず,Nにかかわらず,,①試合は晴雨にかかわらず決行する。,,,,,,,,,,,,,,,,,,,
にかかわらず,～にかかわらず　V－るV－ないにかかわらず　A一いA－くないにかかわらず,,①経験のあるなしにかかわらず、だれでも参加することができる。,,,,,,,,,,,,,,,,,,,
にかかわる,Nにかかわる,,①人の命にかかわる仕事をするにはそれなりの覚悟がいる。,,,,,,,,,,,,,,,,,,,
にかけたら,Nにかけたら,,①スピードにかけたら、その投手の右に出る者はいない。,,,,,,,,,,,,,,,,,,,
にかけて,NからNにかけて,,①台風は今晩から明日の朝にかけて上陸するもようです。,,,,,,,,,,,,,,,,,,,
にかけて,Nにかけて,,①話術にかけては彼の右にでるものはいない。,,,,,,,,,,,,,,,,,,,
にかけて,Nにかけて（も）,,①命にかけてもこの秘密は守り通す。,,,,,,,,,,,,,,,,,,,
にかこつけて,Nにかこつけて,,①仕事にかこつけてヨーロッパ旅行を楽しんできた。,,,,,,,,,,,,,,,,,,,
にかたくない,Nにかたくない,,①このままインフレが続くと社会不安が増大し、政権の基盤が危うくなることは想像にかたくない。,,,,,,,,,,,,,,,,,,,
にかまけて,Nにかまけて,,①仕事にかまけてちっとも子供の相手をしてやらない。,,,,,,,,,,,,,,,,,,,
にかわって,Nにかわって,,①母にかわって、私があいさつします。,,,,,,,,,,,,,,,,,,,
にかわり,Nにかわり,,①急病の母にかわり、父が出席いたします。,,,,,,,,,,,,,,,,,,,
にかんして,Nにかんして,,①その事件に関して学校から報告があった。,,,,,,,,,,,,,,,,,,,
にきまっている,N／A／V　にきまっている,,①こんないたずらをするのはあいつにきまっている。,,,,,,,,,,,,,,,,,,,
にくい,R－にくい,,①あの人の話は発音が不明瞭で分かりにくい。,,,,,,,,,,,,,,,,,,,
にくらべて,Nにくらべて　Vのにくらべて,,①例年に比べて今年は野菜の出来がいい。,,,,,,,,,,,,,,,,,,,
にくわえ,Nにくわえ,,①激しい風にくわえ、大雨に見舞われて、被害が拡大した。,,,,,,,,,,,,,,,,,,,
にくわえて,Nにくわえて,,①激しい風にくわえて、雨もひどくなってきた。,,,,,,,,,,,,,,,,,,,
