Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
すぐ,,N5,,①すぐ来てください。,,,,,,,,,,,,,,,,,,,
すくなくとも,,N3,,①そこはちょっと遠いですよ。歩けば、すくなくとも20分はかかります。,,,,,,,,,,,,,,,,,,,
すぐにでも,,N3,,①お急ぎならすぐにでもお届けいたします。,,,,,,,,,,,,,,,,,,,
ずくめ,Nずくめ,N1,,①彼女はいつも黒ずくめのかっこうをしている。,,,,,,,,,,,,,,,,,,,
すこしも～ない,,N4,,①強くこすっているのに、すこしもきれいにならない。,,,,,,,,,,,,,,,,,,,
ずして,V－ずして,N1,,①悪天候の中を飛行磯が無事着陸すると、乗客の中から期せずして拍手がわき起こった。,,,,,,,,,,,,,,,,,,,
ずじまいだ,V－ずじまいだ,N2,,①出張で香港へ行ったが、いそがしくて友だちには会わずじまいだった。,,,,,,,,,,,,,,,,,,,
ずつ,数量詞＋ずつ,N5,,①一人に3つずつキャンディーをあげましょう。,,,,,,,,,,,,,,,,,,,
ずとも,V－ずとも,N1,,①そんな簡単なことぐらい聞かずともわかる。,,,,,,,,,,,,,,,,,,,
すなわち,,N2,,①彼は、1945年、すなわち、第二次世界大戦の終わった年に生まれた。,,,,,,,,,,,,,,,,,,,
ずに,V－ずに,N4,,①よくかまずに食べると胃を悪くしますよ。,,,,,,,,,,,,,,,,,,,
ずにいる,V－ずにいる,N3,,①禁煙を始めたが、吸わずにいるとだんだんイライラしてくる。,,,,,,,,,,,,,,,,,,,
ずにおく,V－ずにおく,N2,,①父に電話がかかってきたが、疲れてよく寝ているようだったので起こさずにおいた。,,,,,,,,,,,,,,,,,,,
ずにすむ,V－ずにすむ,N3,,①漢和辞典を買おうと思っていたら、友だちが古いのをくれたので買わずにすんだ。,,,,,,,,,,,,,,,,,,,
ずにはいられない,V－ずにはいられない,N2,,①この本を読むと、誰でも感動せずにはいられないだろう。,,,,,,,,,,,,,,,,,,,
ずにはおかない,V－ずにはおかない,N1,,①この本は読む人を感動させずにはおかない。,,,,,,,,,,,,,,,,,,,
ずにはすまない,V－ずにはすまない,N1,,①あいつはこの頃怠けてばかりだ。一言言わずにはすまない。,,,,,,,,,,,,,,,,,,,
すむ,～すむ　【Nですむ　V－てすむ,N3,,①もっと費用がかかると思ったが2万円ですんだ。,,,,,,,,,,,,,,,,,,,
すむ,V－ないで／V－ずに　すむ,N3,,①バスがすぐに来たので待たないですんだ。,,,,,,,,,,,,,,,,,,,
すむ,～すむことではない　Nですむことではない　V－てすむことではない,N2,,①大事な書類をなくしてしまうなんて、謝ってすむことではない。,,,,,,,,,,,,,,,,,,,
