Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
なんか,Nなんか,,①お酒はワインなんか好きで、よく飲んでいます。,,,,,,,,,,,,,,,,,,,
なんか,V－たりなんかして,,①休みの日は本を読んだりなんかして過ごします。,,,,,,,,,,,,,,,,,,,
なんか,なんか～ない,,①お金がないから、旅行なんか滅多にできない。,,,,,,,,,,,,,,,,,,,
なんか～ものか,～なんかV－るものか,,①家になんか帰ってやるものか。,,,,,,,,,,,,,,,,,,,
なんだか,,,①このあたりはなんだか気味が悪いね。,,,,,,,,,,,,,,,,,,,
なんて1,なんてV,,①よく聞こえないのですが、あの人はなんて言っているのですか。,,,,,,,,,,,,,,,,,,,
なんて1,なんて（いう）N,,①さっき来た人はなんていう人ですか。,,,,,,,,,,,,,,,,,,,
なんて1,なんて（いう）Nだ,,①あなたって人は、なんていう人なの。,,,,,,,,,,,,,,,,,,,
なんて1,なんてことない,,①これくらいのけが、なんて事ないさ。,,,,,,,,,,,,,,,,,,,
なんて1,なんて～んだろう　なんて～Nなんだろう　なんてNaなんだろう　なんてA－いんだろう,,①ここはなんて寂しいところなんでしょう。,,,,,,,,,,,,,,,,,,,
なんて2,Nなんて,,①あなたなんて大嫌い。,,,,,,,,,,,,,,,,,,,
なんて2,～なんて,,①みんなには時間を守れなんて言ったけど、そう言った本人が遅刻してしまった。,,,,,,,,,,,,,,,,,,,
なんて2,～なんて　N／Na（だ）なんて　A／V　なんて,,①一家そろって海外旅行だなんて、うらやましいですね。,,,,,,,,,,,,,,,,,,,
なんでも,なんでも,,①ほしいものは何でも手に入る。,,,,,,,,,,,,,,,,,,,
なんでも,なんでも～らしい／～そうだ,,①何でも彼女はもうすぐ仕事をやめるそうですよ。,,,,,,,,,,,,,,,,,,,
なんでも,なんでもない,,①あの頃の苦労に比べればこんな苦労は何でもない。,,,,,,,,,,,,,,,,,,,
なんでも,Nでもなんでもない,,①病気でも何でもない。ただ怠けたくて休んでいただけだ。,,,,,,,,,,,,,,,,,,,
なんと,なんと,,①ご両親はなんとおっしゃっていましたか。,,,,,,,,,,,,,,,,,,,
なんと,なんと～のだろう　なんと～Nなのだろう　なんとNaなのだろう　なんとA－いのだろう,,①なんと美しい人なのでしょう。,,,,,,,,,,,,,,,,,,,
なんという,なんというN,,①あの人は何という名前ですか。,,,,,,,,,,,,,,,,,,,
