Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
べからず,V－るべからず,,①落書きするべからず。,,,,,,,,,,,,,,,,,,,
べき,であるべき　A－くあるべき　V－るべき　文語の助動詞「べし」の活用形。現代語の表現では動詞の辞書形に付く。「する」には「するべき」と「すべき」の二つの形が使われる。～べきだ,,①学生は勉強す（る）べきだ。,,,,,,,,,,,,,,,,,,,
べき,～べき　だった／ではなかった　V－る／V－ておく　べきだった,,①あの時買っておくべきだった。,,,,,,,,,,,,,,,,,,,
べき,～べきN,,①外交政策について、議論すべきことは多い。,,,,,,,,,,,,,,,,,,,
べく,V－るべく　文語の助動詞「べし」の連用形。書きことば的なかたい表現として現代語でも使われる。動詞の辞書形に付く。「する」は「するべく」と「すべく」の二つの形が使われるが「すべく」のほうがかたい感じがする。～べくV－た,,①大学に進むべく上京した。,,,,,,,,,,,,,,,,,,,
べく,V～べくしてV－た,,①この機械の危険性は以前から何度も指摘されていた。この事故は起こるべくして起こったといえる。,,,,,,,,,,,,,,,,,,,
べく,～べくもない,,①多勢に無勢では勝つべくもない。,,,,,,,,,,,,,,,,,,,
べし,V－るべし,,①学生はすべからく勉強に励むべし。,,,,,,,,,,,,,,,,,,,
へた,へた,,①字がへたなので、もっぱらワープロを愛用している。,,,,,,,,,,,,,,,,,,,
へた,Nは～がへただ　NはNがへただ　NはV－るのがへただ,,①私は計算がへただ。,,,,,,,,,,,,,,,,,,,
へた,へたに,,①このごろの機械は複雑だから、故障しても素人がへたにいじらない方がいい。,,,,,,,,,,,,,,,,,,,
へた,へたをすると,,①A：試験はどうだった？B：それが、あまり良くなかったんだ。へたをすると、卒業できないかもしれないなあ。,,,,,,,,,,,,,,,,,,,
べつだん,べつだん～ない,,①べつだん変わったことはない。,,,,,,,,,,,,,,,,,,,
べつだん,べつだんのN,,①別段のご配慮をいただきたく存じます。,,,,,,,,,,,,,,,,,,,
べつとして,Nはべつとして,,①中国語は別として、そのほかのアジアの言語となると学習する人が極端に少なくなる。,,,,,,,,,,,,,,,,,,,
べつとして,～はべつとして　～かどうかはべつとして　疑問詞＋かはべつとして,,①将来役に立つかどうかは別として、学生時代にいろいろな分野の勉強をしておくことは、けっして無駄ではない。,,,,,,,,,,,,,,,,,,,
べつに,べつに～ない,,①別に変わったことは何もない。,,,,,,,,,,,,,,,,,,,
べつに,（～とは）べつに　Nとはべつに　Vのとはべつに,,①料金とは別に600円の送料が必要です。,,,,,,,,,,,,,,,,,,,
べつに,Nベつに,,①クラス別に写真を撮った。,,,,,,,,,,,,,,,,,,,
ぽい,,,①気が短くて怒りっぽい。,,,,,,,,,,,,,,,,,,,
