Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
がてら,Nがてら　R－がてら,,①買い物がてら、その辺をぶらぶらしない？,,,,,,,,,,,,,,,,,,,
かというと,～かというと　N／Na（なの）かというと　A／V（の）かというと,,①彼女はその仕事が気に入っているそうだ。しかし自分の時間を犠牲にしてでも打ち込んでいるかというと、そこまでは行かないらしい。,,,,,,,,,,,,,,,,,,,
かというと,疑問詞＋かというと,,①私は彼がきらいだ。どうしてかというと、いつも人の悪口ばかり言っているからだ。,,,,,,,,,,,,,,,,,,,
かとおもうと,V－たかとおもうと,,①急に空が暗くなったかと思うと、はげしい雨がふってきた。,,,,,,,,,,,,,,,,,,,
かとおもうほと,,,①いつ寝ているのかと思うほどいそがしそうだ。,,,,,,,,,,,,,,,,,,,
かとおもえば,V－るかとおもえば,,①菓がぜんぶ落ちた木があるかと思えば、まだたくさん残っている木もあった。,,,,,,,,,,,,,,,,,,,
かとおもったら,,,①帰ってきたかと思ったら、また出かけていった。,,,,,,,,,,,,,,,,,,,
かな,,,①山田さんは今日来るかな。,,,,,,,,,,,,,,,,,,,
がな,,,①山田さんはまだ来ないの？遅れずに来るように言っておいたんだがな。,,,,,,,,,,,,,,,,,,,
かならず,,,①休むときはかならず連絡してください。,,,,,,,,,,,,,,,,,,,
かならずしも～ない,,,①金持ちがかならずしもしあわせだとは限らない。,,,,,,,,,,,,,,,,,,,
かねない,R－かねない,,①風邪だからといってほうっておくと、大きい病気になりかねない。,,,,,,,,,,,,,,,,,,,
かねる,R－かねる,,①そのご意見には賛成しかねます。,,,,,,,,,,,,,,,,,,,
がはやいか,V－るがはやいか,,①そのことばを聞くがはやいか、彼はその男になぐりかかった。,,,,,,,,,,,,,,,,,,,
かもしれない,N／Na／A／V　かもしれない　話しことばでは、「かもわからない」の形で使われることもある。また、くだけた会話では「かもね」「かもよ」などの形でも使われる。「かもしれぬ」「かもしれず」は書きことばとして使われるかたい表現。～かもしれない,,①A：あの偉そうにしている人、ひょっとしてここの社長かもしれないね。B：そうかもね。,,,,,,,,,,,,,,,,,,,
かもしれない,たしかに～かもしれない　なるほと～かもしれない,,①A：この計画は危険すぎますよ。B：確かに、危険かもしれない。しかし、やってみるだけの価値はあると思う。,,,,,,,,,,,,,,,,,,,
かもしれない,～ば／～たら　V－るかもしれない,,①ここで代打がホームランでも打てば、形勢は逆転するかもしれない。,,,,,,,,,,,,,,,,,,,
かもしれない,～ぱ／～たら　V－たかもしれない,,①あの時彼女を引き留めていたら、僕たちは別れずに済んだかもしれない。,,,,,,,,,,,,,,,,,,,
かもわからない,～かもわからない　N／Na／A／V　かもわからない,,①私は明日来られないかもわからない。,,,,,,,,,,,,,,,,,,,
かもわからない,か（も）わからない　A／Vかくも）わからない,,①先生の言っていることがわかりません。何について話しているかもわかりません。,,,,,,,,,,,,,,,,,,,
