Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
にこしたことはない,Nであるにこしたことはない　Na（である）にこしたことはない　A－いにこしたことはない　V－るにこしたことはない,,①体はじょうぶにこしたことはない。,,,,,,,,,,,,,,,,,,,
にこたえ,Nにこたえ,,①その青年は人々の期待にこたえ、大きな韓を撃ち取った。,,,,,,,,,,,,,,,,,,,
にこたえて,Nにこたえて,,①その選手は両親の期待にこたえてみごとに完走した。,,,,,,,,,,,,,,,,,,,
にさいし,Nにさいし　V－るにさいし,,①今回の合併に際し、大規模な合理化が行われた。,,,,,,,,,,,,,,,,,,,
にさいして,Nにさいして　V－るにさいして,,①お別れに際して一言ご挨拶を申し上げます。,,,,,,,,,,,,,,,,,,,
にさきだち,Nにさきだち　V－るにさきだち,,①実験にさきだち、入念なチェックを行った。,,,,,,,,,,,,,,,,,,,
にさきだって,Nにさきだって　V－るにさきだって,,①試験開始にさきだって、注意事項を説明する。,,,,,,,,,,,,,,,,,,,
にしたがい,Nにしたがい　V－るにしたがい,,①引率者の指示に従い行動すること。,,,,,,,,,,,,,,,,,,,
にしたがって,Nにしたがって,,①引率者の指示にしたがって行動して下さい。,,,,,,,,,,,,,,,,,,,
にしたがって,V－るにしたがって,,①上昇するにしたがって気圧が下がる。,,,,,,,,,,,,,,,,,,,
にしたって,「にしろ」「にしても」の話しことばでの言い方。Nにしたって,,①社長にしたって成功の見通しがあって言っていることではない。,,,,,,,,,,,,,,,,,,,
にしたって,V－るにしたって,,①人に注意を与えるにしたって、もう少し言葉遣いには気を付けるべきだ。,,,,,,,,,,,,,,,,,,,
にしたって,疑問詞＋にしたって,,①どちらにしたって勝てる見込みはほとんどない。,,,,,,,,,,,,,,,,,,,
にしたら,Nにしたら,,①せっかくの申し出を断ってしまったのだから、彼にしたら、自分の親切が踏みにじられたと感じていることだろう。,,,,,,,,,,,,,,,,,,,
にして,Nにして＜段階＞,,①この歳にして初めて人生のなんたるかが分かった。,,,,,,,,,,,,,,,,,,,
にして,Nにして＜並立＞,,①教師にして学問のなんであるかを知らない。,,,,,,,,,,,,,,,,,,,
にして,～にして,,①幸いにして大事にいたらずにすんだ。,,,,,,,,,,,,,,,,,,,
にしてからが,Nにしてからが,,①リーダーにしてからがやる気がないのだから、ほかの人たちがやるはずがない。,,,,,,,,,,,,,,,,,,,
にしては,N／Na／V　にしては,,①子供にしてはむずかしい言葉をよく知っている。,,,,,,,,,,,,,,,,,,,
にしてみれば,Nにしてみれば,,①今何の歌がはやっているかなんて、私にしてみればどうでもいいことだ。それよりもっと大切なことが山ほどある。,,,,,,,,,,,,,,,,,,,
