Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
ではないか2,～（の）ではないかとおもう,N3,,①こんなうまい話は、うそではないかと思う。,,,,,,,,,,,,,,,,,,,
ではないだろうか,N／Na（なの）ではないだろうか　A／V　のではないだろうか,N2,,①ひょっとして、これは悪い病気ではないだろうか。,,,,,,,,,,,,,,,,,,,
ではなかったか,N／Na（なの）ではなかったか　A／V　のではなかったか　過去の状況について推測したり、現状が過去と異なることに対する不満を表す書きことば的表現。話しことばでは「（ん）じゃなかったか」（男性）「（ん）じゃなかったの」（女性）などが用いられる。～（の）ではなかったか＜推測＞,N2,,①古代人にとってはこれも貴重な食物ではなかったか。,,,,,,,,,,,,,,,,,,,
ではなかったか,～（の）ではなかったか＜反期待＞,N2,,①昔はとなり近所の人々は互いにもっと協力的ではなかったか。,,,,,,,,,,,,,,,,,,,
ではなかろうか,N／Na（なの）ではなかろうか　A／V　のではなかろうか,N1,,①彼の成績では、この大学は無理ではなかろうか。,,,,,,,,,,,,,,,,,,,
ではなくて,N／Na（なの）ではなくて　Aのではなくて　Vのではなくて,N4,,①彼がこの前一緒に歩いていた女性は、恋人ではなくて、妹なのだそうだ。,,,,,,,,,,,,,,,,,,,
てはならない,V－てはならない,N3,,①一度や二度の失敗であきらめてはならない。,,,,,,,,,,,,,,,,,,,
てみせる,V－てみせる,N3,,①かれは柔道の型を教えるためにまずやってみせた。,,,,,,,,,,,,,,,,,,,
てみる,V－てみる,N5,,①一度そのめずらしい料理が食べてみたい。,,,,,,,,,,,,,,,,,,,
てみる,V－てみてはじめて,N3,,①病気になってみてはじめて健康の大切さが身にしみた。,,,,,,,,,,,,,,,,,,,
てみる,V－てみると,N3,,①表にして比べてみると、両者は実際にはあまり違いがないということがわかる。,,,,,,,,,,,,,,,,,,,
てみる,V－てみたら,N3,,①電話でたずねてみたら、もう切符は売り切れたと言われた。,,,,,,,,,,,,,,,,,,,
てみる,V－てみたらどう,N4,,①A：山下さんは全然わかってくれません。B：もう一度会って話してみたらどうですか。,,,,,,,,,,,,,,,,,,,
てみる,V-てもみない,N3,,①この作品がコンクールに入選するなんて考えてもみなかった。,,,,,,,,,,,,,,,,,,,
てみる,V-てもみないで,N3,,①本を読んでもみないで､何が書いてあったかどうしてわかるだろう。,,,,,,,,,,,,,,,,,,,
ても,でも　A-くても　V-ても　述語のテ形と｢も｣の組合わさったもの。名詞､ナ形容詞の場合は｢でも｣となる。くだけた話しことばでは｢たって｣｢だって｣の形も使われる。～ても<逆条件>,N5,,①この仕事は､病気でも休めない。,,,,,,,,,,,,,,,,,,,
ても,～ても,N5,,①を二乗すると4になりますが､2を二乗しても4になります。,,,,,,,,,,,,,,,,,,,
ても,～ても～ても,N4,,①うちの子供は､ニンジンでもピーマンでも､好き嫌いを言わないで食べます。,,,,,,,,,,,,,,,,,,,
ても,V-てもV-なくても,N3,,①今回のレポートは出しても出さなくても､成績には全く影響ありません。,,,,,,,,,,,,,,,,,,,
ても,V－てもV－ても,N3,,①このズボンは洗っても洗っても汚れが落ちない。,,,,,,,,,,,,,,,,,,,
