Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
とする2,0人来るとして、会費は一人いくらぐらいにすればよいでしょうか。,,①それはそうとして、我々はどうしたらよいでしょうか。,,,,,,,,,,,,,,,,,,,
とする2,～とする　N／Na（だ）とする　A／V　とする,,①酔ったうえでの失言（だ）として、彼の責任は問われないことになった。,,,,,,,,,,,,,,,,,,,
とする2,～こととする「～と見なす」「～と判断する」「～と決める」　という意味を表す。,,①≪規則≫会議を欠席する場合は、事前に議長宛に届けを提出することとする。,,,,,,,,,,,,,,,,,,,
とする2,～ものとする,,①意見を言わない者は賛成しているものとする。,,,,,,,,,,,,,,,,,,,
とする2,V－ようとする,,①時計は正午を知らせようとしている。,,,,,,,,,,,,,,,,,,,
とする2,NをNとする,,①私は恩師の生き方を手本としている。,,,,,,,,,,,,,,,,,,,
とすると,だとすると　A／V　とすると,,①医学部に入るとすると、一体どのくらいお金が必要なのだろうか。,,,,,,,,,,,,,,,,,,,
とすると,だとすると　A／V　とすると,,①1時間待ってまだ何の連絡もないとすると、途中で事故にでもあったのかもしれない。,,,,,,,,,,,,,,,,,,,
とすると,（だ）とすると,,①A：今年の2月の平均気温は平年より数度も高いそうですよ。B：とすると、桜の開花も早くなるでしょうね。,,,,,,,,,,,,,,,,,,,
とすれば1,Nとすれば,,①夫とすれば家事をおろそかにする妻には不満も多いだろうと思う。,,,,,,,,,,,,,,,,,,,
とすれば2,だとすれば　A／V　とすれば,,①死ぬとすれば10歳年上の私の方が早いはずだ。,,,,,,,,,,,,,,,,,,,
とすれば2,だとすれば　A／V　とすれば,,①これだけ待っても来ないとすれば、もともと来る気がなかったんじゃないだろうか。,,,,,,,,,,,,,,,,,,,
とすれば2,（だ）とすれば,,①A：家に電話しても誰も出ないんですよ。B：だとすれば、もうこちらに向かっているということじゃないですか。,,,,,,,,,,,,,,,,,,,
とすれば2,NをNとすればNがNだとすれば,,①テレビがお茶の間のものとすれば、ラジオは個室のものである。,,,,,,,,,,,,,,,,,,,
とたん,V－たとたん（に）,,①ドアを開けたとたん、猫が飛び込んできた。,,,,,,,,,,,,,,,,,,,
とたん,そのとたん（に）,,①友だちと30分ほど話して、受話器を置いた。そのとたんに再び電話のベルが鳴り出した。,,,,,,,,,,,,,,,,,,,
とたん,とたんにV,,①空が急に暗くなったと思ったら、途端に大粒の雨が降りだした。,,,,,,,,,,,,,,,,,,,
とちがって,Nと（は）ちがって　Naなのと（は）ちがって　A／V　のと（は）ちがって,,①弟は大柄な兄とちがって、やせていて背も低い。,,,,,,,,,,,,,,,,,,,
とちゅう,とちゅうで,,①いつもの時間に家を出たが、途中で忘れ物に気づいて引き返した。,,,,,,,,,,,,,,,,,,,
とちゅう,～とちゅう（で／に）　Nのとちゅう（で／に）　V－るとちゅう（で／に）,,①通勤の途中、突然雨が降りだした。,,,,,,,,,,,,,,,,,,,
