Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
また,また＜繰り返し＞,,①また、飛行機が落ちたらしい。,,,,,,,,,,,,,,,,,,,
また,また＜付加＞,,①教科書は、大学生協で購入できる。また、大きな書店でも販売している。,,,,,,,,,,,,,,,,,,,
また,また＜列挙＞,,①彼は良き父であり、また良き夫でもある。,,,,,,,,,,,,,,,,,,,
また,また＜選択＞,,①参加してもよい。また、参加しなくてもよい。,,,,,,,,,,,,,,,,,,,
また,～もまた　Nもまた　Naなのもまた　A／V　のもまた,,①山でのキャンプ生活は電気もガスもないが、不便なのもまた楽しい。,,,,,,,,,,,,,,,,,,,
また,～また,,①いったいまたどうしてそんなことを。,,,,,,,,,,,,,,,,,,,
また,またのN,,①またのお越しをお待ちしております。,,,,,,,,,,,,,,,,,,,
また,NまたN,,①一行は、山また山の奥地に進んで行った。,,,,,,,,,,,,,,,,,,,
まだ,まだ～ない,,①A：昼ご飯は、もう食べましたか。B：いいえ、まだ食べていません。,,,,,,,,,,,,,,,,,,,
まだ,まだ＜過去からの継続＞,,①A：敏子は何をしているの？B：おねえちゃんは、まだ電話をしているよ。,,,,,,,,,,,,,,,,,,,
まだ,まだ＜未果への継続＞,,①これから、まだもっと寒くなる。,,,,,,,,,,,,,,,,,,,
まだ,まだ～ある,,①開演までには、まだ時間がある。,,,,,,,,,,,,,,,,,,,
まだ,まだ＜経過＞,,①まだ一時間しかたっていない。,,,,,,,,,,,,,,,,,,,
まだ,まだ＜比較＞,,①何日もかかって、長いレポートを書かされるよりは、一日ですむ試験の方がまだいい。,,,,,,,,,,,,,,,,,,,
またしても,,,①またしても空の事故が起こった。,,,,,,,,,,,,,,,,,,,
または,NまたはN,,①黒か青のペンまたはえんぴつで書いてください。,,,,,,,,,,,,,,,,,,,
またもや,,,①またもや、彼が登場した。,,,,,,,,,,,,,,,,,,,
まったく,まったく～ない,,①きのうのクラスはまったくおもしろくなかった。,,,,,,,,,,,,,,,,,,,
まったく,まったく,,①これとこれはまったく同じものです。,,,,,,,,,,,,,,,,,,,
まで,NからNまで,,①シンポジウムは1時から3時まで第3会場で行います。,,,,,,,,,,,,,,,,,,,
