Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
にも,Nにも＜尊敬の対象＞,N1,,①ご家族のみなさまがたにもおすこやかにお過ごしのことと拝察申し上げます。,,,,,,,,,,,,,,,,,,,
にも,V－ようにも～ない,N2,,①助けを呼ぼうにも声が出ない。,,,,,,,,,,,,,,,,,,,
にも,V－ようにもV－れない,N2,,①少し休みたいけれど、忙しくて休もうにも休めない。,,,,,,,,,,,,,,,,,,,
にもかかわらず,N／A／V　にもかかわらず　Naであるにもかかわらず,N2,,①悪条件にもかかわらず、無事登頂に成功した。,,,,,,,,,,,,,,,,,,,
にもとづいて,Nにもとづいて,N2,,①実際にあった話に基づいて小説を書いた。,,,,,,,,,,,,,,,,,,,
にもなく,Nにもなく,N1,,①今日はがらにもなく背広なんかを着ている。,,,,,,,,,,,,,,,,,,,
にもならない,Nにもならない,N2,,①あまりにばかばかしい話で、冗談にもならない。,,,,,,,,,,,,,,,,,,,
にもならない,V－るきにもならない,N2,,①あまりにばかばかしくて笑う気にもならない。,,,,,,,,,,,,,,,,,,,
によって,Nによって＜原因＞,N3,,①私の不注意な発言によって、彼を傷つけてしまった。,,,,,,,,,,,,,,,,,,,
によって,Nによって＜受身文の動作主＞,N3,,①この建物は有名な建築家によって設計された。,,,,,,,,,,,,,,,,,,,
によって,Nによって＜手段＞,N3,,①この資料によって多くの事実が明らかになった。,,,,,,,,,,,,,,,,,,,
によって,Nによって＜よりところ＞,N3,,①この資料によっていままで不明だった多くの点が明らかになった。,,,,,,,,,,,,,,,,,,,
によって,Nによって＜場合＞,N3,,①人によって考え方が違う。,,,,,,,,,,,,,,,,,,,
によらず,Nによらず,N2,,①この会社では、性別や年齢によらず、能力のあるなしによって評価される。,,,,,,,,,,,,,,,,,,,
により,,N2,,①水質汚染がかなり広がっていることが、環境庁の調査により明らかになった。,,,,,,,,,,,,,,,,,,,
による,Nによる,N3,,①学長による祝辞に引き続いて、卒業生代表によるスピーチが行われた。,,,,,,,,,,,,,,,,,,,
によると,Nによると,N3,,①天気予報によると、明日は晴れるそうです。,,,,,,,,,,,,,,,,,,,
によると,ことによると／ばあいによると,N2,,①ことによると今回の旅行はキャンセルしなければならないかもしれない。,,,,,,,,,,,,,,,,,,,
によると,Vところによると,N2,,①聞いたところによると、最近は飛行磯でいく方が電車より安い場合もあるそうですね。,,,,,,,,,,,,,,,,,,,
によれば,,N2,,①この記録によれば、その城が完成したのは11世紀末のことだ。,,,,,,,,,,,,,,,,,,,
