Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
じゃない,じゃない,N5,,①A：雨？B：いや、雨じゃない。,,,,,,,,,,,,,,,,,,,
じゃないか1,N／Na／A／V　じゃないか　「ではないか1」のくだけた形で、話しことばの文末で主として男性が使う。女性は「じゃないの」「じゃない」の形を使うことが多い。「じゃん」はさらにくだけた言い方で、男女共に使う。丁寧形は「じゃないですか」「じゃありませんか」→【ではないか1】～じゃないか＜驚き・発見＞,N4,,①すごいじゃないか。大発見だね。,,,,,,,,,,,,,,,,,,,
じゃないか1,～じゃないか＜非難＞,N4,,①どうしたんだ。遅かったじゃないか。,,,,,,,,,,,,,,,,,,,
じゃないか1,～じゃないか＜確認＞,N4,,①ほら、覚えていないかな。同じクラスに加藤って子がいたじゃないか。,,,,,,,,,,,,,,,,,,,
じゃないか1,V－ようじゃないか,N3,,①頑張って勝ち抜こうじゃないか。,,,,,,,,,,,,,,,,,,,
じゃないか2　,N／Na（なん）じゃないか　A／V　んじゃないか,N3,,①隣、ひょっとして留守じゃないか。,,,,,,,,,,,,,,,,,,,
じゃないが,Nじゃないが,N2,,①非難するわけじゃないけど、どうしてあなたの部屋はこんなに散らかっているの。,,,,,,,,,,,,,,,,,,,
じゃないだろうか,くなん）じゃないだろうか　A／V　んじゃないだろうか,N3,,①もう帰ってしまったんじゃないだろうか。,,,,,,,,,,,,,,,,,,,
じゅう,Nじゅう＜空間＞,N4,,①学校中にうわさが広まった。,,,,,,,,,,,,,,,,,,,
じゅう,Nじゅう＜時間＞,N4,,①一晩中起きている。,,,,,,,,,,,,,,,,,,,
しゅんかん,Nのしゅんかん　V－たしゅんかん,N3,,①立ち上がった瞬間に、家がぐらっと大きく揺れた。,,,,,,,,,,,,,,,,,,,
じょう,Nじょう,N2,,①子供にお金を与えるのは教育上よくない。,,,,,,,,,,,,,,,,,,,
しょうがない,しょうがない,N3,,①誰もやらないならしょうがない、私一人でもやる。,,,,,,,,,,,,,,,,,,,
ず,文語の助動詞「ず」から。否定の意味を表す。書きことばや慣用的な表現でしか用いない。話しことばでは「なくて」「ないで」が使われる。「V－ない」の「ない」を「ず」に変えて作る。「する」は「せず」となる。V－ず,N3,,①途中であきらめず、最後までがんばってください。,,,,,,,,,,,,,,,,,,,
ず,～ず、～ず　A－からず、A－からず　V－ず、V－ず,N2,,①飲まず食わずで三日間も山中を歩きつづけた。,,,,,,,,,,,,,,,,,,,
すえに,Nのすえに　V－たすえに,N3,,①今月のすえに、首相が訪中する。,,,,,,,,,,,,,,,,,,,
すぎない,N／Na／A／V　にすぎない,N2,,①その件は責任者にきいてください。私は事務員にすぎませんので。,,,,,,,,,,,,,,,,,,,
すぎる,すぎる　A－すぎる　R－すぎる　～すぎる,N4,,①この役は思春期の役だから10歳では子供すぎて話にならない。,,,,,,,,,,,,,,,,,,,
すぎる,～すぎ　R－すぎだ　R－すぎのN,N4,,①太郎、遊びすぎですよ。もうちょっと勉強しなさい。,,,,,,,,,,,,,,,,,,,
すぎる,～ても～すぎることはない,N2,,①冬山登山は注意しても、し過ぎることはない。,,,,,,,,,,,,,,,,,,,
