Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
お～になる,おRーになる　ごNになる,,①村田さんはもうお帰りになりました。,,,,,,,,,,,,,,,,,,,
お～ねがう,おR－ねがう　ごNねがう,,①明日うかがいたいと、山田さんにお伝え願えますか。,,,,,,,,,,,,,,,,,,,
おいそれと（は）～ない,おいそれと（は）V－れない,,①子供を産んだばかりの母ネコにはおいそれとは近づけない。,,,,,,,,,,,,,,,,,,,
おいて,,,①この研究分野の第1人者ということなら、加藤先生をおいてほかはないでしょう。,,,,,,,,,,,,,,,,,,,
おかげで,な／だった　おかげで　Aおかげで　V－たおかげで,,①あなたのおかげで助かりました。,,,,,,,,,,,,,,,,,,,
おきに,数量詞＋おきに,,①大学行きのバスは10分おきに出ている。,,,,,,,,,,,,,,,,,,,
おきに,時間おきに飲んでください。,,①この道路には10mおきにポプラが植えられている。,,,,,,,,,,,,,,,,,,,
おきに,軒おきぐらいに外車を持っている家がある。,,①映画館に入ると、座席は一つおきにしかあいていなかったので、友達とは離れて座ることになった。,,,,,,,,,,,,,,,,,,,
おそらく,,,①おそらく彼はそのことを知っているだろう。,,,,,,,,,,,,,,,,,,,
おそれがある,Nのおそれがある　V－るおそれがある,,①今夜から明日にかけて津波の恐れがあるので、厳重に注意してください。,,,,,,,,,,,,,,,,,,,
おなじ,～とおなじ　Nとおなじ　Vのとおなじ,,①このステレオはうちのと同じだ。,,,,,,,,,,,,,,,,,,,
おなじ,おなじV－る　なら／のだったら,,①同じ買うなら、少々高くても長持ちするものの方がいい。,,,,,,,,,,,,,,,,,,,
おぼえはない,V－られるおぽえはない,,①きみにそんなひどいことを言われる覚えはない。,,,,,,,,,,,,,,,,,,,
おぼえはない,V－たおぼえはない,,①彼があんなに怒るようなことを言った覚えはないんだけど。,,,,,,,,,,,,,,,,,,,
おまけに,,,①あたりはすっかり暗くなり、おまけに雨まで降ってきた。,,,,,,,,,,,,,,,,,,,
おもう,～とおもう,,①今日は雨が降ると思います。,,,,,,,,,,,,,,,,,,,
おもう,～とおもっている,,①私は自分のしたことが正しいと思っている。,,,,,,,,,,,,,,,,,,,
おもう,～とおもわれる,,①このままの状態では環境汚染は進む一方だと思われる。,,,,,,,,,,,,,,,,,,,
おもう,～とはおもわなかった,,①まさか今日あの人が来るとは思わなかった。,,,,,,,,,,,,,,,,,,,
おもう,R－たいとおもう,,①アメリカに留学したいと思います。,,,,,,,,,,,,,,,,,,,
