Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
よかった,V－なければよかったのに,,①そんなこと言わなければよかったのに。,,,,,,,,,,,,,,,,,,,
よかろう,,,①のんびりしたいのなら、観光地に行くよりは温泉の方がよかろう。,,,,,,,,,,,,,,,,,,,
よく,よく　＜頻度＞,,①彼はこの店によく来る。,,,,,,,,,,,,,,,,,,,
よく,よく　＜程度＞,,①最近よく眠れなくて困っている。,,,,,,,,,,,,,,,,,,,
よく,よく（ぞ）＜感激＞,,①よくいらっしゃいました。,,,,,,,,,,,,,,,,,,,
よく,よく（も）＜驚き＞,,①おじいさんの子供の頃なんて、よくもそんな古い写真が残っていたね。,,,,,,,,,,,,,,,,,,,
よく,よく（も）＜非難＞,,①よくもみんなの前で私に二恥をかかせてくれたな。,,,,,,,,,,,,,,,,,,,
よそに,Nをよそに＜無視＞,,①弟は親の心配をよそに毎晩遅くまで遊んでいる。,,,,,,,,,,,,,,,,,,,
よそに,Nをよそに＜無関係＞,,①高速道路の渋滞をよそに、私たちはゆうゆうと新幹線で東京に向かった。,,,,,,,,,,,,,,,,,,,
よほど,話しことばで強めるときには「よっぽど」となる。よほど　Aよほど,,①こんな大邸宅を建てるなんて、よほどの金持ちに違いない。,,,,,,,,,,,,,,,,,,,
よほど,よほどV－よう,,①こんなつまらない仕事、よほど辞めようかと思った。,,,,,,,,,,,,,,,,,,,
よもや,よもや～ないだろう／～まい,,①よもや負けるまいと思われていた選手が予選落ちした。,,,,,,,,,,,,,,,,,,,
より,～より（も／は）　N／V　より（も／は）,,①今年の冬は昨年よりも寒い。,,,,,,,,,,,,,,,,,,,
より,～というより,,①彼は堅実家というよりけちだと言う方が当たっている。,,,,,,,,,,,,,,,,,,,
より,V－るよりない,,①どうしても大学に通う気が起きないのなら、もう退学するよりないだろう。,,,,,,,,,,,,,,,,,,,
より,V－るよりほか（に／は）ない,,①今さらあれはうそだったとも言えないし、隠しとおすよりほかにない。,,,,,,,,,,,,,,,,,,,
より,～よりほかに～ない　Nよりほかに～ない　V－るよりほかに～ない,,①その部屋は静かで、時計の音よりほかに何の物音も聞こえなかった。,,,,,,,,,,,,,,,,,,,
より,V－るよりしかたがない,,①お金がないのなら、旅行はあきらめるよりしかたがないね。,,,,,,,,,,,,,,,,,,,
らしい,NらしいN,,①最近は子供らしい子供が少なくなった。,,,,,,,,,,,,,,,,,,,
らしい,Nらしい,,①今日は春らしい天気だ。,,,,,,,,,,,,,,,,,,,
