Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
なんら～ない,なんらV－ない,N2,,①彼らがどう言おうと、私にはなんらかかわりのないことだ。,,,,,,,,,,,,,,,,,,,
なんら～ない,なんらのNもV－ない,N1,,①彼らの対応にはなんらの誠意も感じられない。,,,,,,,,,,,,,,,,,,,
に,R－にV,N1,,①待ちに待った帰国の日がついにやってきた。,,,,,,,,,,,,,,,,,,,
に,V－るにV－れない,N2,,①人手が足りないのでやめるにやめられない。,,,,,,,,,,,,,,,,,,,
にあたって,Nにあたって　V－るにあたって,N2,,①開会にあたってひとことご挨拶を申し上げます。,,,,,,,,,,,,,,,,,,,
にあたり,Nにあたり　V－るにあたり,N1,,①代表団の選出にあたり、被選挙人名簿を作成した。,,,,,,,,,,,,,,,,,,,
にあって,Nにあって,N1,,①異国の地にあって、仕事を探すこともままならない。,,,,,,,,,,,,,,,,,,,
にあって,Nにあっても,N1,,①彼は苦境にあっても、まげずに頑張っている。,,,,,,,,,,,,,,,,,,,
にあって,Nにあっては＜状況＞,N1,,①こんな厳寒の地にあっては、新鮮な野菜が食卓に上るなど、滅多にないことだ。,,,,,,,,,,,,,,,,,,,
にあって,Nにあっては＜人＞,N1,,①高橋さんにあっては、どんな強敵でも勝てそうにありませんね。,,,,,,,,,,,,,,,,,,,
にいたる,書きことば的な表現。～にいたる　N／V　にいたる,N2,,①この川は大草原を横切って流れ、やがては海に至る。,,,,,,,,,,,,,,,,,,,
にいたる,Nにいたるまで,N2,,①旅行中に買ったものからハンドバッグの中身に至るまで、厳しく調べられた。,,,,,,,,,,,,,,,,,,,
にいたる,～にいたって　N／V　にいたって,N1,,①編集段階に至って、初めて撮影したビデオの映像が使いものにならないことがわかったが、すでに遅かった。,,,,,,,,,,,,,,,,,,,
にいたる,Nにいたっては,N1,,①父も母も私の転職に大反対し、姉にいたっては、そんなことより早く結婚しろと言い出す始末だった。,,,,,,,,,,,,,,,,,,,
にいたる,～にいたっても　N／V　にいたっても,N1,,①投票率が史上最低という事態に至っても、なお自分たちが国民から信頼されていると信じて疑わない政治家も少なくない。,,,,,,,,,,,,,,,,,,,
にいわせれば,Nにいわせれば,N2,,①あの人に言わせれば、こんな辞書はまったく使いものにならないということらしい。,,,,,,,,,,,,,,,,,,,
において,Nにおいて＜状況＞,N2,,①卒業式は大講堂において行われた。,,,,,,,,,,,,,,,,,,,
において,Nにおいて＜領域＞,N2,,①絵付けの技術において彼にかなうものはいない。,,,,,,,,,,,,,,,,,,,
におうじて,Nにおうじて,N2,,①物価の変動に応じて給料を上げる。,,,,,,,,,,,,,,,,,,,
におかれましては,Nにおかれましては,N1,,①先生におかれましては、お元気そうでなによりです。,,,,,,,,,,,,,,,,,,,
