Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
いたり,Nのいたり,,①このたび我が社の長年の社会奉仕活動に対して地域文化賞をいただきましたことは誠に光栄のいたりに存じます。,,,,,,,,,,,,,,,,,,,
いちがいに～ない,,,①有機野菜が安全だといちがいには言えない。,,,,,,,,,,,,,,,,,,,
いちど,いちど　Vと／V－たら,,①タイ料理は一度食べると病みつきになる。,,,,,,,,,,,,,,,,,,,
いちど,いちど　V－ば／V－たら,,①こんなところは一度来ればたくさんだ。,,,,,,,,,,,,,,,,,,,
いつか,いつか,,①本を読んでいる間にいつか眠り込んでしまったようだ。,,,,,,,,,,,,,,,,,,,
いつか,いつかV－た,,①いつか見た映画の中にもこんな台詞があった。,,,,,,,,,,,,,,,,,,,
いつか,いつか（は）,,①あいつもいつかはきっと自分の間違いに気づくだろう。,,,,,,,,,,,,,,,,,,,
いつか,いつかのN,,①いつかのセールスマンがまた来た。,,,,,,,,,,,,,,,,,,,
いっこうに,いっこうにV－ない,,①30分待ったが、彼はいっこうに現れない。,,,,,,,,,,,,,,,,,,,
いっさい,いっさいない　いっさいV－ない,,①計画の変更はいっさいない。,,,,,,,,,,,,,,,,,,,
いつしか,,,①いつしかあたりは薄暗くなり、人影もまばらになっていた。,,,,,,,,,,,,,,,,,,,
いっそ,いっそ,,①こんなにつらい思いをするくらいなら、いっそ離婚してしまいたい。,,,,,,,,,,,,,,,,,,,
いっそ,よりいっそ（のこと）　N／V　よりいっそ（のこと）,,①休職よりいっそ転職を考えてみたらどうですか。,,,,,,,,,,,,,,,,,,,
いったい,いったい＋疑問表現,,①いったい彼は生きているのだろうか。,,,,,,,,,,,,,,,,,,,
いったん～と,,,①彼女はおしゃべりな人で、いったん話し出すと止まらない。,,,,,,,,,,,,,,,,,,,
いっぽう,V－る＋いっぽう（で）,,①自分の仕事をこなす一方で、部下のめんどうも見なければならない。,,,,,,,,,,,,,,,,,,,
いっぽう,いっぽうでは～たほうでは,,①この映画は、一方では今年最高との高い評価を受けていながら、他方ではひどい出来だと言われている。,,,,,,,,,,,,,,,,,,,
いっぽう,いっぽう,,①花子はみんなが帰ったあとも毎日残業していた。一方桃子は定時退社し、毎晩遊び回っていた。,,,,,,,,,,,,,,,,,,,
いっぽう,V－るいっぽうだ,,①事態は悪くなる一方だ。,,,,,,,,,,,,,,,,,,,
いない,数量詞＋いない,,①10人以内なら乗れます。,,,,,,,,,,,,,,,,,,,
