Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
とかんがえられる,とかんがえられる　A／V　とかんがえられる,N2,,①このままでは、日本の映画産業は落ち込む山方だと考えられる。,,,,,,,,,,,,,,,,,,,
とかんがえられる,とかんがえられている　A／V　とかんがえられている,N2,,①一般的に英語は世界の共通語だと考えられているが、実際には英語が通じない国はいくらもある。,,,,,,,,,,,,,,,,,,,
とかんがえられる,～ものとかんがえられる　Nであるものとかんがえられる　Naであるものとかんがえられる　A／V　ものとかんがえられる,N1,,①泥棒は二階の窓から入ったものと考えられる。,,,,,,,,,,,,,,,,,,,
とかんがえられる,～ものとかんがえられている　Nであるものとかんがえられている　Naであるものとかんがえられている　A／V　ものとかんがえられている　今回の地震の原因は、地下断層に亀裂が生じたことによるものと考えられている。,N1,,①携帯電話の利用者は、今後急激に増加していくものと考えられている。,,,,,,,,,,,,,,,,,,,
とき,Nとき　R－とき,N4,,①昼飯ビきは、この辺りはサラリーマンで一杯になる。,,,,,,,,,,,,,,,,,,,
ときく,だときく　A／V　ときく,N4,,①ここは昔は海だったと聞く。,,,,,,,,,,,,,,,,,,,
ときたひには,やや古めかしい話しことば。「～ときたら」の方がふつうに使われる。Nときたひには,N1,,①うちの女房ときたひには、暇さえあれば居眠りしている。,,,,,,,,,,,,,,,,,,,
ときたひには,～ときたひには,N1,,①毎日残業で、しかも休日なしときたひには、病気になるのも無理はない。,,,,,,,,,,,,,,,,,,,
ときたら,Nときたら,N2,,①うちの亭主ときたら、週のうち3日は午前様で、日曜になるとごろごろ寝てばかりいる。,,,,,,,,,,,,,,,,,,,
ときたら,～ときたら,N2,,①毎日残業の後に飲み屋のはしごときたら、体がもつはずがない。,,,,,,,,,,,,,,,,,,,
ときているから,N／Na／A／V　ときているから,N1,,①あの寿司屋は、ネタがいいうえに安いときているから、いつ行っても店の前に行列ができている。,,,,,,,,,,,,,,,,,,,
ときとして,ときとして,N2,,①温暖なこの地方でも、時として雪がふることもある。,,,,,,,,,,,,,,,,,,,
ときとして,ときとして～ない,N2,,①このごろは時として心休まる日がない。,,,,,,,,,,,,,,,,,,,
ときに,,N3,,①時に、ご家族の皆様はお元気ですか。,,,,,,,,,,,,,,,,,,,
ときには,,N4,,①生真面目な彼だが、時には冗談をいうこともある。,,,,,,,,,,,,,,,,,,,
とこか,とこか＜不定＞,N4,,①このテレビ、どこかがこわれているんじゃないかな。,,,,,,,,,,,,,,,,,,,
とこか,とこか＜不確か＞,N3,,①あの人は、どこかかわいいところがある。,,,,,,,,,,,,,,,,,,,
とことなく,,N2,,①彼女はどことなく色気がある。,,,,,,,,,,,,,,,,,,,
ところ1,Nのところ,N3,,①今のところ患者は小康状態を保っています。,,,,,,,,,,,,,,,,,,,
ところ1,V－るところとなる,N1,,①この政治的スキャンダルは、還からず世界中の人々が知るところとなるだろう。,,,,,,,,,,,,,,,,,,,
