Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
おもう,～おもう　Naにおもう　A－くおもう,,①先生に指導していただけることになって、本当に幸せに思います。,,,,,,,,,,,,,,,,,,,
おもう,V－ようとおもう,,①今日はゆっくり休もうと思う。,,,,,,,,,,,,,,,,,,,
おもう,であるようにおもう　A／V　ようにおもう,,①太田くんは内気なので、ウェイターの仕事は向いていないように思う。,,,,,,,,,,,,,,,,,,,
おもう,N（のこと）をおもう,,①親が子供を思う気持ちは何にも変えられない。,,,,,,,,,,,,,,,,,,,
おもう,だとおもう　Nを　A／V　とおもう,,①最初は保子さんを男の子だと思った。,,,,,,,,,,,,,,,,,,,
おもえば,おもえば,,①思えば、学生時代はみんな純粋だった。,,,,,,,,,,,,,,,,,,,
おもえば,いまからおもえば,,①母は、私が下宿するのに猛反対したが、今から思えばその気持ちもわからなくもない。,,,,,,,,,,,,,,,,,,,
おもったら,だとおもったら　A／V　とおもったら,,①息子の姿が見えないと思ったら、押し入れの中で寝ていた。,,,,,,,,,,,,,,,,,,,
および,NおよびN,,①会議終了後、名札およびアンケート用紙を回収します。,,,,,,,,,,,,,,,,,,,
おり,おり（に）　Nのおり（に）　V－る／V－た　おり（に）,,①前回の書類は今度の会議のおりにお渡しします。,,,,,,,,,,,,,,,,,,,
おり,おりから　Aおりから　V－るおりから,,①残暑の続くおりから、お体には十分お気をつけください。,,,,,,,,,,,,,,,,,,,
おり,おりからのN,,①山は嵐のような天候になり、小さな山小屋は、おりからの風にあおられて簡単に吹き飛んでしまった。,,,,,,,,,,,,,,,,,,,
か,～か～か　NかN（か）　NaかNaか　AかAか　VかVか,,①電車かバスで行くつもりだ。,,,,,,,,,,,,,,,,,,,
か,Nか＋疑問詞＋か,,①プレゼントはコーヒーカップか何かにしよう。,,,,,,,,,,,,,,,,,,,
か,～か～かで　NかN（か）で　NaかNaかで　AかAかで　VかVかで,,①あの人の話は、たいてい自分の自慢話か仕事の愚痴かで、聞いているとうんざりする。,,,,,,,,,,,,,,,,,,,
か,～かとうか　N／Na／A／V　かとうか,,①あの人が来るかどうか知っていますか。,,,,,,,,,,,,,,,,,,,
か,～か～ないか,,①行くか行かないか決めて下さい。,,,,,,,,,,,,,,,,,,,
か,～か～ない（か）　V－るかV－ない（か）　V－たかV－ない（か）,,①去年彼女に会ったのは、たしかゴールデンウイークに入るか入らないかの頃だったと思います。,,,,,,,,,,,,,,,,,,,
か,疑問詞～か,,①彼がいつ亡くなったか知っていますか。,,,,,,,,,,,,,,,,,,,
か,疑問詞＋か,,①彼はどうも何かを隠しているらしい。,,,,,,,,,,,,,,,,,,,
