Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
における,NにおけるN,N2,,①過去における過ちを謝罪する。,,,,,,,,,,,,,,,,,,,
にかかっては,Nにかかっては,N1,,①彼の毒舌にかかっては社長も太刀打ちできない。,,,,,,,,,,,,,,,,,,,
にかかわらず,Nにかかわらず,N2,,①試合は晴雨にかかわらず決行する。,,,,,,,,,,,,,,,,,,,
にかかわらず,～にかかわらず　V－るV－ないにかかわらず　A一いA－くないにかかわらず,N2,,①経験のあるなしにかかわらず、だれでも参加することができる。,,,,,,,,,,,,,,,,,,,
にかかわる,Nにかかわる,N2,,①人の命にかかわる仕事をするにはそれなりの覚悟がいる。,,,,,,,,,,,,,,,,,,,
にかけたら,Nにかけたら,N1,,①スピードにかけたら、その投手の右に出る者はいない。,,,,,,,,,,,,,,,,,,,
にかけて,NからNにかけて,N3,,①台風は今晩から明日の朝にかけて上陸するもようです。,,,,,,,,,,,,,,,,,,,
にかけて,Nにかけて,N2,,①話術にかけては彼の右にでるものはいない。,,,,,,,,,,,,,,,,,,,
にかけて,Nにかけて（も）,N1,,①命にかけてもこの秘密は守り通す。,,,,,,,,,,,,,,,,,,,
にかこつけて,Nにかこつけて,N1,,①仕事にかこつけてヨーロッパ旅行を楽しんできた。,,,,,,,,,,,,,,,,,,,
にかたくない,Nにかたくない,N1,,①このままインフレが続くと社会不安が増大し、政権の基盤が危うくなることは想像にかたくない。,,,,,,,,,,,,,,,,,,,
にかまけて,Nにかまけて,N1,,①仕事にかまけてちっとも子供の相手をしてやらない。,,,,,,,,,,,,,,,,,,,
にかわって,Nにかわって,N3,,①母にかわって、私があいさつします。,,,,,,,,,,,,,,,,,,,
にかわり,Nにかわり,N3,,①急病の母にかわり、父が出席いたします。,,,,,,,,,,,,,,,,,,,
にかんして,Nにかんして,N3,,①その事件に関して学校から報告があった。,,,,,,,,,,,,,,,,,,,
にきまっている,N／A／V　にきまっている,N3,,①こんないたずらをするのはあいつにきまっている。,,,,,,,,,,,,,,,,,,,
にくい,R－にくい,N4,,①あの人の話は発音が不明瞭で分かりにくい。,,,,,,,,,,,,,,,,,,,
にくらべて,Nにくらべて　Vのにくらべて,N3,,①例年に比べて今年は野菜の出来がいい。,,,,,,,,,,,,,,,,,,,
にくわえ,Nにくわえ,N2,,①激しい風にくわえ、大雨に見舞われて、被害が拡大した。,,,,,,,,,,,,,,,,,,,
にくわえて,Nにくわえて,N2,,①激しい風にくわえて、雨もひどくなってきた。,,,,,,,,,,,,,,,,,,,
