Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
あいだ,Nのあいだ＜空間＞,N5,,①ステレオと本棚の間にテレビを置いた。,,,,,,,,,,,,,,,,,,,
あいだ,Nのあいだ＜関係＞,N4,,①最近二人の間はうまくいっていないようだ。,,,,,,,,,,,,,,,,,,,
あいだ,あいだ　Nのあいだ　A－いあいだ　V－ている／V－る　あいだ,N4,,①彼は会議の間ずっといねむりをしていた。,,,,,,,,,,,,,,,,,,,
あいだ,あいだに　Nのあいだに　Naなあいだに　A－いあいだに〕V－ている／V－る　あいだに,N4,,①留守の間にどろぼうが入った。,,,,,,,,,,,,,,,,,,,
あえて,あえて,N1,,①私はあえてみなさんに規則の見直しを提案したいと思います。,,,,,,,,,,,,,,,,,,,
あえて,あえてV－ば,N1,,①反対されるのを承知であえて言えば、こんな計画は百害あって一利なしだ。,,,,,,,,,,,,,,,,,,,
あえて,あえて～ない,N1,,①そのやり方にあえて反対はしないが、不満は残っている。,,,,,,,,,,,,,,,,,,,
あがる,R－あがる＜上方向＞,N4,,①彼は立ち上がってあたりを見回した。,,,,,,,,,,,,,,,,,,,
あがる,R－あがる＜極端な程度＞,N2,,①長い間雨が降らないので、湖も干上がってしまった。,,,,,,,,,,,,,,,,,,,
あがる,R－あがる＜完成＞,N3,,①パンがおいしそうに焼きあがった。,,,,,,,,,,,,,,,,,,,
あくまで,あくまで（も）＜意志＞,N1,,①私はあくまでもこの方針を貫くつもりだ。,,,,,,,,,,,,,,,,,,,
あくまで,あくまで（も）＜主張＞,N1,,①私が今申し上げたことはあくまでも試案ですので、そのおつもりで。,,,,,,,,,,,,,,,,,,,
あくまで,あくまで（も）＜強い程度＞,N1,,①空はあくまでも青く澄み渡り、砂浜はどこまでも白く続いていた。,,,,,,,,,,,,,,,,,,,
あげく,～あげく　Nのあげく　V－たあげく,N2,,①さんざん悩んだあげく、彼には手紙で謝ることにした。,,,,,,,,,,,,,,,,,,,
あげく,あげくのはてに（は）,N1,,①部長はますます機嫌が悪くなり、あげくの果てには関係ない社員にまでどなり散らすようになった。,,,,,,,,,,,,,,,,,,,
あげる,R－あげる＜上方向＞,N4,,①男は大きな岩を軽々と持ち上げた。,,,,,,,,,,,,,,,,,,,
あげる,R－あげる＜完成＞,N3,,①大事なお客さんが来るので、母は家中をぴかぴかにみがき上げた。,,,,,,,,,,,,,,,,,,,
あたかも,あたかもN（であるか）の　ようだ　あたかもN（であるか）の　ことし　あたかもVかの　ようだ　あたかもVかの　ことし,N1,,①その日はあたかも春のような陽気だった。,,,,,,,,,,,,,,,,,,,
あっての,NあってのN,N1,,①学生あっての大学だ。学生が来なければ、いくらカリキュラムが素晴らしくても意味がない。,,,,,,,,,,,,,,,,,,,
あと1,あと＜空間＞　Nのあと　V－る／V－た　あと,N5,,①みんな私の後についてきてください。,,,,,,,,,,,,,,,,,,,
