Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
にわたって,Nにわたって,,①この研究グループは水質汚染の調査を10年にわたって続けてきた。,,,,,,,,,,,,,,,,,,,
にわたり,Nにわたり,,①話し合いは数回にわたり、最終的には和解した。,,,,,,,,,,,,,,,,,,,
ぬ,文語の否定を表す助動詞で、現在では「～ません」や「知らん」「好かん」などの「ん」にその形跡が残っているほかは、慣用句として固定された言い方に用いられる。V－ぬ,,①知らぬ存ぜぬで（＝知らないと主張し続けて）押し通す。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬうちに,,①誰にも気付かれぬうちにここを抜け出そう。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬばかり,,①おまえは馬鹿だと言わぬばかりの顔をした。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬまでも,,①この崖から落ちたら、死に至らぬまでも重傷はまぬがれないだろう。,,,,,,,,,,,,,,,,,,,
ぬ,V－ぬまに,,①鬼のいぬ間に洗濯（＝邪魔になる人がいない間にしたいことをする）。,,,,,,,,,,,,,,,,,,,
ぬき,Nぬきで,,①この集まりでは、形式張ったこと抜きで気楽にやりましょう。,,,,,,,,,,,,,,,,,,,
ぬき,Nぬきに～V－れない,,①この企画は、彼の協力抜きには考えられない。,,,,,,,,,,,,,,,,,,,
ぬき,Nはぬきにして,,①この際、仕事の話は抜きにして、大いに楽しみましょう。,,,,,,,,,,,,,,,,,,,
ぬく,R－ぬく,,①苦しかったが最後まで走りぬいた。,,,,,,,,,,,,,,,,,,,
ぬまでも,V－ぬまでも,,①邸宅とは言わぬまでも、せめて小さな一戸建ぐらいは建てたいものだ。,,,,,,,,,,,,,,,,,,,
ねばならない,V－ねばならない,,①平和の実現のために努力せねばならない。,,,,,,,,,,,,,,,,,,,
ねばならぬ,V－ねばならぬ,,①暴力には力を合わせて立ち向かわねばならぬ。,,,,,,,,,,,,,,,,,,,
の1,NのN　＜所属＞,,①これはあなたの財布じゃないですか。,,,,,,,,,,,,,,,,,,,
の1,NのN　＜性質＞,,①病気の人を見舞う。,,,,,,,,,,,,,,,,,,,
の1,NのN　＜同格＞,,①友人の和男に相談した。,,,,,,,,,,,,,,,,,,,
の1,N（＋助詞）のN,,①子供の成長は早い。,,,,,,,,,,,,,,,,,,,
の1,Nの～N,,①彼の書いた絵はすばらしい。,,,,,,,,,,,,,,,,,,,
の1,Nの,,①これは私のです。,,,,,,,,,,,,,,,,,,,
