Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
のに2,V－るのに,,①この道具はパイプを切るのに使います。,,,,,,,,,,,,,,,,,,,
のは～だ,なのは～だ　A／V　のは～だ　「XのはYだ」の形で、聞き手がすでに知っていることや予測のつくことをXで述べ、Yの部分で聞き手の知らない新しいことを述べる用法。～のは　Nだ／N＋助詞＋だ,,①このことを私に教えてくれたのは山田さんです。,,,,,,,,,,,,,,,,,,,
のは～だ,のは～からだ,,①彼女が試験に失敗したのは、体の調子が悪かったからだ。,,,,,,,,,,,,,,,,,,,
のは～だ,のは～ためだ,,①電車が遅れたのは、踏切事故があったためだ。,,,,,,,,,,,,,,,,,,,
のは～だ,のは～おかげだ,,①子供が助かったのはあなたのおかげです。,,,,,,,,,,,,,,,,,,,
のは～だ,のは～せいだ,,①雪崩に巻き込まれたのは、無謀な計画のせいだ。,,,,,,,,,,,,,,,,,,,
のみ,Nのみ,,①経験のみに頼っていては成功しない。,,,,,,,,,,,,,,,,,,,
のみ,V－るのみだ,,①準備は整った。あとはスイッチをいれるのみだ。,,,,,,,,,,,,,,,,,,,
のみ,Nあるのみだ,,①こうなったからは前進あるのみだ。,,,,,,,,,,,,,,,,,,,
のみならず,～のみならず～も　NのみならずNも　NaであるのみならずNaでも　A－いのみならずA－くも　VのみならずNもV,,①若い人のみならず老人や子供達にも人気がある。,,,,,,,,,,,,,,,,,,,
ば,だ　～ばA－い　～ばV－る,,①春が来れば花が咲く。,,,,,,,,,,,,,,,,,,,
ば,～ば～V－る,,①祖母は天気がよければ毎朝近所を散歩します。,,,,,,,,,,,,,,,,,,,
ば,～ば～V－た,,①子供のころは、天気がよければ、よく母とこの河原を散歩したものだ。,,,,,,,,,,,,,,,,,,,
ば,～ば＋未実現のことがら,,①もし私が彼の立場なら、やっぱり同じように考えるだろう。,,,,,,,,,,,,,,,,,,,
ば,～ば＋意志・希望,,①安ければ買うつもりです。,,,,,,,,,,,,,,,,,,,
ば,～ば＋働きかけ,,①そう思いたければ勝手に思え。,,,,,,,,,,,,,,,,,,,
ば,～ば＋問いかけ,,①A：学生ならば、料金は安くなりますか。B：大人料金の2割引になります。,,,,,,,,,,,,,,,,,,,
ば,疑問詞＋V－ば～のか,,①いったいどういうふうに説明すれば分かってもらえるのか。,,,,,,,,,,,,,,,,,,,
ば,～ば～のに／～のだが,,①宿題がなければ夏休みはもっと楽しいのに。（残念なことに宿題がある。）,,,,,,,,,,,,,,,,,,,
ば,～ば～だろう／～はずだ,,①地震の起こるのがあと1時間遅ければ被害はずっと大きかっただろう。,,,,,,,,,,,,,,,,,,,
