Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
うえ,V－たうえで,N3,,①では、担当の者と相談した上で、改めてご返事させていただきます。,,,,,,,,,,,,,,,,,,,
うえ,V－る／V－たうえは,N2,,①やると言ってしまったうえは、何がなんでもやらなければならない。,,,,,,,,,,,,,,,,,,,
うえ,～うえ（に）　Nであるうえに　Naなうえに　A／V　うえに,N3,,①今年は冷夏である上に台風の被害も大きくて、野菜は異常な高値を記録している。,,,,,,,,,,,,,,,,,,,
うち,Nのうち,N3,,①この三曲のうちでどれが一番気に入りましたか。,,,,,,,,,,,,,,,,,,,
うち,～うちにはいらない　Nのうちにはいらない　A－いうちにはいらない　Vうちにはいらない,N2,,①通勤の行き帰りに駅まで歩くだけでは、運動するうちに入らない。,,,,,,,,,,,,,,,,,,,
うち,～うちに　Nのうちに　Naなうちに　A－いうちに,N3,,①朝のうちに宿題をすませよう。,,,,,,,,,,,,,,,,,,,
うち,V－ている／V－るうちに,N3,,①彼女は話しているうちに顔が真っ赤になった。,,,,,,,,,,,,,,,,,,,
うち,V－ないうちに,N3,,①知らないうちに隣は引っ越していた。,,,,,,,,,,,,,,,,,,,
うち,V－るかV－ないうちに,N2,,①夕食に手をつけるかつけないうちに、ポケットベルで呼び出された。,,,,,,,,,,,,,,,,,,,
うち,～うちは　Nのうちは　Naなうちは　A－いうちは　V－る／V－ているうちは　V－ないうちは,N3,,①明るいうちはこのあたりはにぎやかだが、夜になると人通りもなくなり、一人で歩くのは危ない。,,,,,,,,,,,,,,,,,,,
うち,～うちが　Nのうちが　Naなうちが　A－いうちが　V一る／V－ているうちが　V－ていないうちが,N2,,①若いですねと言ってもらえるうちが花だ。,,,,,,,,,,,,,,,,,,,
うる,R－うる,N2,,①彼が失敗するなんてありえない。,,,,,,,,,,,,,,,,,,,
える,,N2,,①21世紀には人が月で生活することもありえるかもしれない。,,,,,,,,,,,,,,,,,,,
お～いたす,おR－いたす　ごNいたす,N3,,①お食事をお持ちいたしましょうか。,,,,,,,,,,,,,,,,,,,
お～いただく,おR－いただく　ごNいただく,N3,,①今日は遠いところをわざわざお集まりいただきましてありがとうございます。,,,,,,,,,,,,,,,,,,,
お～くださる,おR－くださる　ごNくださる,N3,,①今日お話しくださる先生は、東西大学の山川先生です。,,,,,,,,,,,,,,,,,,,
お～する,おR－する　ごNする,N3,,①先生、お荷物をお持ちします。,,,,,,,,,,,,,,,,,,,
お～です,おR－だ　ごNだ,N3,,①林先生は信州に別荘をお持ちだそうですよ。,,,,,,,,,,,,,,,,,,,
お～です,週間いらっしゃらないそうです。,N3,,①お宅のご主人は本社にご栄転だそうですね。,,,,,,,,,,,,,,,,,,,
お～なさる,おR－なさる　ごNなさる,N3,,①あの先生がお話しなさったことは、多くの人たちにとって生きていく心の支えとなるだろう。,,,,,,,,,,,,,,,,,,,
