Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
もともと,～てもともとだ,N2,,①初めからあまり可能性はなかったから、失敗してももともとだ。,,,,,,,,,,,,,,,,,,,
もとより,もとより,N1,,①そのことはもとより承知しています。,,,,,,,,,,,,,,,,,,,
もとより,～はもとより,N1,,①ワープロはもとより、タイプライターすら使ったことがない。いつも手書きだ。,,,,,,,,,,,,,,,,,,,
もの,漢字の「物」が使われるのは、1の中で具体的な手でつかめるような物体を表す場合で、それ以外は、「もの」とするのが普通。もの＜物体＞,N5,,①この部屋にはいろいろな物がある。,,,,,,,,,,,,,,,,,,,
もの,もの＜言葉・知識・作品など＞,N4,,①子供がものを言うようになった。,,,,,,,,,,,,,,,,,,,
もの,Nというもの,N3,,①彼女は愛国心というものをもっていないのだろうか。,,,,,,,,,,,,,,,,,,,
もの,Nというものは～だ,N3,,①人間というものは不可解だ。,,,,,,,,,,,,,,,,,,,
もの,V－れないものはV－れない,N3,,①A：これだけお願いしてもだめですか。B：いくら頼まれても、できないものはできないんだ。,,,,,,,,,,,,,,,,,,,
もの,～もの／～もん,N4,,①借りたお金は返しておきました。もらいっぱなしではいやだもの。,,,,,,,,,,,,,,,,,,,
ものか,Naなものか　A－いものか　V－るものか　～ものか／～もんか,N2,,①A：はさみも持って行く？B：そんなもの必要なもんか。,,,,,,,,,,,,,,,,,,,
ものか,V－ないものだろうか,N2,,①もう少し涼しくならないものかなあ。,,,,,,,,,,,,,,,,,,,
ものか,どうしたもの（だろう）か,N3,,①反対派への説明はどうしたものかね。,,,,,,,,,,,,,,,,,,,
ものがある,Na－なものがある　A－いものがある　V－るものがある,N2,,①この作品は発想に斬新なものがある。,,,,,,,,,,,,,,,,,,,
ものだ,Naなものだ　A－いものだ　Vものだ　～ものだ＜本性＞,N3,,①人の心は、なかなかわからないものだ。,,,,,,,,,,,,,,,,,,,
ものだ,～ものだ,N3,,①「ステレオがないと生活できない」とは、今の学生はぜいたくなことを言うものだ。,,,,,,,,,,,,,,,,,,,
ものだ,よく（も）～ものだ,N2,,①あんなに負債の大きかった会社の再建がよくできたものだ。,,,,,,,,,,,,,,,,,,,
ものだ,V－たいものだ,N3,,①そのお話はぜひうかがいたいものです。,,,,,,,,,,,,,,,,,,,
ものだ,V－たものだ,N3,,①学生のころはよく貧乏旅行をしたものでした。,,,,,,,,,,,,,,,,,,,
ものだから,なものだから　Aものだから　Vものだから　～ものだから,N3,,①私の前を走っている人が転んだものだから、それにつまづいて私もころんでしまった。,,,,,,,,,,,,,,,,,,,
ものだから,～おもったものだから,N3,,①彼はもう知っていると思ったものだから、伝えませんでした。,,,,,,,,,,,,,,,,,,,
