Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
とうとう,とうとう～V－なかった,,①二時間も待ったが、とうとう彼は来なかった。,,,,,,,,,,,,,,,,,,,
どうにか,とうにか,,①おかげさまで、どうにかやっておりますので、ご安心ください。,,,,,,,,,,,,,,,,,,,
どうにか,とうにかする,,①早くどうにかしないと、手遅れになってしまうよ。,,,,,,,,,,,,,,,,,,,
どうにか,とうにかなる,,①そんなに心配しなくても、どうにかなるよ。,,,,,,,,,,,,,,,,,,,
どうにも,どうにも～ない,,①こうむし暑くては、どうにもやりきれない。,,,,,,,,,,,,,,,,,,,
どうにも,どうにも　ならない／できないす,,①過ぎたことは、いまさらくやんでも、どうにもならない。,,,,,,,,,,,,,,,,,,,
どうも,どうも＜不確か＞,,①母のことがどうも気になってならない。,,,,,,,,,,,,,,,,,,,
どうも,どうも～そうだ／～ようだ／～らしい,,①この空模様では、どうも雨になりそうだ。,,,,,,,,,,,,,,,,,,,
どうも,とうも＜困惑＞,,①ちっとも勉強しないで遊んでこまむすこばかりで、どうも困った息子です。せんばいしヽつきょくうた,,,,,,,,,,,,,,,,,,,
どうも,どうも＜挨拶＞,,①お手紙どうもありがとうございます。ま,,,,,,,,,,,,,,,,,,,
とうもない,,,①彼は、酒を1升ぐらい飲んでも、どうもない。,,,,,,,,,,,,,,,,,,,
どうやら,どうやら～そうだ,,①このぶんでいくと、どうやら桜の開花は早まりそうだ。,,,,,,,,,,,,,,,,,,,
どうやら,どうやら（こうやら,,①急いだので、どうやら間に合った。,,,,,,,,,,,,,,,,,,,
どうり／道理,～どうりがない,,①こんなに難しい本が子供に読める道理がない。,,,,,,,,,,,,,,,,,,,
どうり／道理,どうりで,,①A：彼女13歳までアメリカで育ったんだって。B：へえ。どうりで英語の発音がいいわけだね。,,,,,,,,,,,,,,,,,,,
とおし,Rーとおし,,①1週間働き通しだ。,,,,,,,,,,,,,,,,,,,
とおして,Nをとおして＜仲立ち＞,,①私たちは友人を通して知り合いになった。,,,,,,,,,,,,,,,,,,,
とおして,V－ることをとおして,,①子供は、学校で他の子供と一緒に遊んだり学んだりすることを通して、社会生活のルールを学んで行く。,,,,,,,,,,,,,,,,,,,
とおして,Nをとおして＜期間中＞,,①5日間を通しての会議で、様々な意見が交換された。,,,,,,,,,,,,,,,,,,,
とおす,R－とおす,,①やると決めたことは最後までやり通すつもりだ。,,,,,,,,,,,,,,,,,,,
