Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
させる,V－させてください＜許可求め＞,,①申し訳ありませんが、今日は少し早く帰らせてください。,,,,,,,,,,,,,,,,,,,
させる,V－させて　もらう／くれる＜恩恵＞,,①両親が早く亡くなったので、姉が働いて私を大学に行かせてくれた。,,,,,,,,,,,,,,,,,,,
させる,V－させられる＜使役受身＞　NがNにVさせられる,,①きのうは、お母さんに3時間も勉強させられた。,,,,,,,,,,,,,,,,,,,
さっぱり,さっぱり～ない,,①あの人の話はいつもむずかしいことばがたくさんでてきてさっぱりわからない。,,,,,,,,,,,,,,,,,,,
さっぱり,さっぱりだ,,①A：どう、調子は。B：だめ。さっぱりだよ。,,,,,,,,,,,,,,,,,,,
さて,さて,,①さて、そろそろいこうか。,,,,,,,,,,,,,,,,,,,
さて,さてV－てみると,,①漢字がおもしろそうだったので日本語を勉強することにしたのだが、さてはじめてみると、これがけっこうむずかしい。,,,,,,,,,,,,,,,,,,,
さほど,さほどNaではない　さほどA－くない　さほどV－ない,,①きょうはさほどさむくない。,,,,,,,,,,,,,,,,,,,
さも,,,①かれはさもおいしそうにビールを飲みほした。,,,,,,,,,,,,,,,,,,,
さらに,さらにNa／A／V　さらに＋数量詞,,①一日一回では効かないので、さらに薬の量を増やした。,,,,,,,,,,,,,,,,,,,
ざるをえない,V－ざるをえない　「V－ない」の「ない」を「ざる」に変えて作る。ただし、「する」は「せざるをえない」となる。,,①先生に言われたことだからやらざるをえない。,,,,,,,,,,,,,,,,,,,
し,～し,,①あの店は安いし、うまい。,,,,,,,,,,,,,,,,,,,
し,～し、それに,,①今日は雨だし、それに風もつよい。,,,,,,,,,,,,,,,,,,,
し,Nも～し、Nも,,①あの子は頭もいいし性格もいい。,,,,,,,,,,,,,,,,,,,
し,～し,,①もう遅いしこれで失礼します。,,,,,,,,,,,,,,,,,,,
し,～し、～から,,①この子はまだ10歳だし、体が弱いから留学は無理だ。,,,,,,,,,,,,,,,,,,,
し,Nは～し、Nは～しで,,①子供は生まれるし、金はないしで大変だ。,,,,,,,,,,,,,,,,,,,
し,Nじゃあるまいし,,①子供じゃあるまいしそんなこと一人でやりなさい。,,,,,,,,,,,,,,,,,,,
しいしい,,,①女は遠慮しいしい部屋の片隅に座った。,,,,,,,,,,,,,,,,,,,
しか,N（＋助詞）しか～ない,,①朝はコーヒーしか飲まない。,,,,,,,,,,,,,,,,,,,
