"Grammar","Usage","JLPT Level","Reference Example","Original Example","Prefix","Chunk1","Chunk2","Chunk3","Chunk4","Suffix","Explanation"
"ては","V－てはV、V－てはV","N2","①害いては消し、書いては消し、やっと手紙を書き上げた。","彼は原稿を書いては消し、書いては消しして、朝まで推敲を繰り返していた。","彼は","原稿を書いては消し、","書いては消しして、","朝まで推敲を","繰り返して","いた。","Cấu trúc ""V-てはV"" biểu thị hành động lặp đi lặp lại nhiều lần. ""書いては消し"" (viết rồi lại xóa) được lặp lại hai lần để nhấn mạnh sự trăn trở của nhân vật. Chunk1 ""原稿を書いては消し"" nối tiếp với Chunk2 ""書いては消しして"" làm rõ hành động lặp lại này. Chunk3 ""朝まで推敲を"" bổ nghĩa cho động từ ""繰り返していた"" (lặp lại việc sửa bản thảo cho đến sáng) ở Chunk4 và Suffix."
"では1","Nでは","N4","①人は外見では判断できない。","この新聞の報道では、今回の事件の背景には深刻な貧困問題があるという。","この新聞の","報道では、","今回の事件の","背景には深刻な","貧困問題が","あるという。","Cấu trúc ""Nでは"" ở đây chỉ căn cứ, nguồn thông tin (""Theo như...""). Danh từ ""報道"" (báo cáo, đưa tin) kết hợp với ""では"" tạo thành Chunk1 ""報道では"" (Theo đưa tin của tờ báo này). Tiếp theo, cụm ""今回の事件の背景には"" (trong bối cảnh của vụ án lần này - Chunk2 & Chunk3) làm rõ vị trí tồn tại của vấn đề. Chunk4 ""貧困問題が"" là chủ ngữ đi với vị ngữ ""あるという"" (nghe nói là có) ở Suffix."
"では2","書きことば的でやや改まった場面で使われる。くだけた話しことばでは「じゃ（あ）」が用いられる。では＜推論＞","N4","①A：私は1974年の卒業です。B：では、私は2年後輩になります。","「私は事件の夜、ずっと自宅にいました。」「では、あなたには完璧なアリバイがあるのですね。」","「私は事件の夜、ずっと自宅にいました。」「","では、","あなたには","完璧なアリバイが","あるの","ですね。」","""では"" đóng vai trò là liên từ biểu thị sự suy luận từ thông tin của người đối thoại trước đó (""Vậy thì...""). Chunk1 ""では"" đứng đầu câu phản hồi. Chunk2 ""あなたには"" chỉ đối tượng sở hữu. Chunk3 ""完璧なアリバイが"" là chủ ngữ của động từ ""ある"" (có) ở Chunk4. ""のですね"" ở Suffix dùng để xác nhận lại thông tin một cách nhẹ nhàng."
"では2","では＜態度表明＞","N4","①A：すみません。教科書を忘れてしまいました。  B：では、となりの人に見せてもらいなさい。","「最近、胸が苦しいのです。」「では、すぐに精密検査を受けましょう。」","「最近、胸が苦しいのです。」「","では、","すぐに","精密検査を","受けま","しょう。」","""では"" ở đây thể hiện thái độ đưa ra quyết định, lời khuyên dựa trên tình huống của đối phương (""Vậy thì...""). Chunk1 ""では"" dẫn đầu câu khuyên nhủ. Chunk2 là trạng từ ""すぐに"" (ngay lập tức) bổ nghĩa cho động từ hành động. Chunk3 ""精密検査を"" là tân ngữ đi kèm với động từ ""受けましょう"" (hãy tiếp nhận...) được tách thành Chunk4 ""受けま"" và Suffix ""しょう"" để tạo cấu trúc rủ rê/đề nghị."
"では2","では＜転換＞","N4","①では、次の議題に入りましょう。","司会者は「では、次の質問に移りたいと思います」と言った。","司会者は「","では、","次の","質問に","移りたいと","思います」と言った。","""では"" đóng vai trò chuyển đổi đề tài, chuyển sang bước tiếp theo (""Sau đây, tiếp theo...""). Chunk1 ""では"" mở đầu cho việc chuyển chủ đề. Chunk2 ""次の"" bổ nghĩa cho danh từ ""質問"" ở Chunk3. Cụm ""質問に移る"" (chuyển sang câu hỏi) đi với cấu trúc mong muốn ""～たいと思う"" biểu thị ý định của người nói, được chia thành Chunk4 ""移りたいと"" và Suffix ""思います」と言った"" (nói rằng muốn chuyển sang...)."
"ではあるが","ではあるが","N2","①この絵はきれいではあるが、感動させるものがない。","彼の小説は傑作ではあるが、一般の読者には少し難解すぎるかもしれない。","彼の小説は","傑作では","あるが、","一般の読者には","少し難解すぎる","かもしれない。","Cấu trúc ""Nではあるが"" (tuy là... nhưng) biểu thị sự nhượng bộ, dùng trong văn viết trang trọng. Danh từ ""傑作"" (kiệt tác) đi với ""ではあるが"" được tách thành Chunk1 ""傑作では"" và Chunk2 ""あるが"". Chunk3 ""一般の読者には"" (đối với độc giả đại chúng) chỉ đối tượng hướng tới của sự đánh giá. Chunk4 ""少し難解すぎる"" (hơi quá nan giải/khó hiểu) kết hợp với cấu trúc phỏng đoán ""かもしれない"" (có lẽ) ở Suffix."
"ではあるまいか","N／Na（なの）ではあるまいか A／V のではあるまいか","N1","①この話は全くの作り話なのではあるまいか。","本書における筆者の主張は、いささか極端なのではあるまいか。","本書における","筆者の","主張は、","いささか極端","なのでは","あるまいか。","Cấu trúc ""Na なのではあるまいか"" biểu thị sự phỏng đoán mang tính hoài nghi, phản biện nhẹ nhàng trong văn phong nghị luận/báo chí (""Chẳng phải là... hay sao?""). ""主張"" (chủ trương/quan điểm) ở Chunk2 làm chủ ngữ. Tính từ đuôi na ""極端"" (cực đoan) ở Chunk3 đi với ""な"" để nối với ""のではあるまいか"" ở Chunk4 và Suffix. Trạng từ ""いささか"" (hơi, một chút) bổ nghĩa cho ""極端""."
"てはいけない","V－てはいけない","N5","①遊んでいたらおじいさんがきて、「芝生に入ってはいけないよ。」と言った。","「この森の奥へ一人で行ってはいけないよ」と、祖母は静かに警告した。","「この","森の奥へ","一人で","行っては","いけないよ」と、","祖母は静かに警告した。","Cấu trúc ""V-てはいけない"" dùng để cấm đoán (""không được làm gì""). Chunk1 ""森の奥へ"" (vào sâu trong rừng) chỉ phương hướng di chuyển. Chunk2 ""一人で"" (một mình) là trạng từ chỉ trạng thái thực hiện hành động. Động từ ""行く"" chuyển sang thể て thành ""行って"" kết hợp với ""はいけない"" tạo thành Chunk3 và Chunk4 để hoàn thành câu cấm đoán. Suffix là phần tường thuật lại lời nói của người bà."
"てはいられない","Nではいられない","N2","①きみは大人になりたくないと言うが、人はいつまでも子供ではいられない。","厳しい現実を前にして、我々はいつまでも夢の中ではいられない。","厳しい現実を前にして、","我々は","いつまでも","夢の中では","いられ","ない。","Cấu trúc ""Nではいられない"" diễn tả ý nghĩa ""không thể cứ ở mãi trong trạng thái N"". Chủ ngữ là ""我々は"" (chúng ta) ở Chunk1. Trạng từ ""いつまでも"" (mãi mãi) ở Chunk2 bổ nghĩa cho trạng thái phủ định phía sau. Danh từ ""夢の中"" (trong giấc mơ) đi với ""ではいられない"" được chia thành Chunk3 ""夢の中では"" và Chunk4 + Suffix ""いられない"" (không thể ở trong...)."
"てはいられない","V－てはいられない","N2","①時間がないから、遅れて来る人を待ってはいられない。すぐ始めよう。","災害が迫っている今、行政の対応をただ待ってはいられない。","災害が迫っている今、","行政の","対応を","ただ待っては","いられ","ない。","Cấu trúc ""V-てはいられない"" diễn tả việc không thể tiếp tục thực hiện hành động V vì không có thời gian hoặc tình thế cấp bách. Chunk1 ""行政の"" bổ nghĩa cho tân ngữ ""対応"" (sự ứng phó) ở Chunk2. Động từ ""待つ"" chuyển sang thể て thành ""待って"" kết hợp với ""はいられない"" tạo thành cụm ""待ってはいられない"", được băm thành Chunk3 ""ただ待っては"", Chunk4 ""いられ"" và Suffix ""ない""."
