Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ほう,～ほう＜方向＞　Nのほう　Vほう,N4,①京都の北のほうは冬には雪がずいぶん積もる。,本試験では、教室の奥のほうの席に座るとリスニングが聞き取りにくくなる。,本試験では、教室の,奥のほうの,席に,座るとリスニングが,聞き取りにくく,なる。,Danh từ 「奥」 (phía trong) kết hợp với 「のほう」 để chỉ phương hướng tương đối (「phía bên trong」). Cụm danh từ 「奥のほうの席」 (chỗ ngồi phía trong) đi với giới từ 「に」 và động từ 「座る」 (ngồi). Mệnh đề điều kiện 「座ると」 (nếu ngồi) dẫn tới hệ quả 「聞き取りにくくなる」 (khó nghe hơn).
ほう,～ほう＜一方＞　Nのほう　Naなほう　A／V　ほう,N4,①A：どちらになさいますか。B：じゃ、大きいほうをください。,作文の宿題は、難しいテーマより書きやすいほうを選ぶほうが良い評価をもらいやすい。,作文の宿題は、難しいテーマより,書きやすいほうを,選ぶほうが,良い評価を,もらい,やすい。,Tính từ 「書きやすい」 kết hợp trực tiếp với 「ほう」 để chỉ phương án dễ viết hơn. Hành động 「書きやすいほうを選ぶ」 (chọn hướng dễ viết) được danh từ hóa bằng 「ほうが」 làm chủ ngữ chính cho vế sau. 「良い評価をもらいやすい」 chỉ khả năng cao đạt điểm tốt.
ほう,～ほうが～より（も）,N5,①飛行機のほうが新幹線より速い。,私の学校では、日本語のクラスのほうが英語のクラスよりも学生が多いです。,私の学校では、,日本語のクラスのほうが,英語の,クラスよりも,学生が,多いです。,"Mẫu so sánh hơn 「AのほうがBより(も)...」 (A hơn B). Ở đây, 「日本語のクラスのほうが」 (lớp tiếng Nhật) là đối tượng chiếm ưu thế, 「英語のクラスよりも」 (hơn lớp tiếng Anh) làm mốc so sánh. Tiếp sau là chủ ngữ phụ 「学生が」 và tính từ vị ngữ 「多いです」 để tạo thành câu so sánh hoàn chỉnh."
ほう,どちらのほう,N5,①A：田中さんと井上さんとでは、どちらのほうが背が高いですか。B：田中さんの方が背が高いです。,ひらがなとカタカナでは、どちらのほうが書くのが簡単ですか。,ひらがなとカタカナでは、,どちらの,ほうが,書くのが,簡単,ですか。,Mẫu so sánh lựa chọn giữa hai đối tượng 「AとBとでは、どちらのほうが...ですか」. Từ để hỏi 「どちら」 đi với 「のほうが」 tạo thành cụm nghi vấn 「phía nào/cái nào」. 「書くのが簡単」 bổ nghĩa cho câu hỏi về độ dễのviệc viết.
ほう,V－ほうがいい＜忠告＞,N4,①僕が話すより、君が直接話す方がいいと思う。,試験で高い点数を取るために、間違えた問題を何度もnull復習したほうがいい。,試験で高い点数を取るために、間違えた問題を何度もnull,復,習,した,ほうがいい。,,Mẫu khuyên bảo 「V-たほうがいい」 (nên làm gì). Động từ 「復習する」 chia thể quá khứ ngắn 「復習した」 kết hợp trực tiếp với 「ほうがいい」 tạo thành lời khuyên ôn tập lại các câu hỏi đã làm sai (「間違えた問題」).
ほう,～ほうかましだ＜選択＞　Nのほうがましだ　Naなほうがましだ　A一いほうがましだ　Vほうがましだ,N2,①A：テストとレポートとどっちがいい？B：レポートの方がましかな。,何も行動せずにあきらめるくらいなら、失敗を恐れずに挑戦してみるほうがいくらかましだ。,何も行動せずにあきらめるくらいなら、,失敗を恐れずに,挑戦してみる,ほうが,いくらか,ましだ。,"Mẫu câu chọn lựa 「～ほうがましだ」 (thà... còn hơn, dù không phải tốt nhất). Động từ 「挑戦してみる」 (thử thách) kết hợp trực tiếp với 「ほうが」 để làm chủ thể cho sự so sánh với việc bỏ cuộc. Trạng từ 「いくらか」 (phần nào) bổ nghĩa cho tính từ 「ましだ」 (đỡ hơn/tốt hơn)."
ほう,～ほうがよかった＜後悔＞　Nのほうがよかった　Naなほうがよかった　A／V　ほうがよかった,N3,①人に頼まないで自分でやった方がよかった。,時間配分を誤ったので、難しい問題を後回しにして簡単なほうから解くほうがよかった。,時間配分を誤ったので、,難しい問題を,後回しにして,簡単なほうから,解くほうが,よかった。,"Mẫu hối tiếc 「V-るほうがよかった」 (đáng lẽ nên làm V thì tốt hơn). Ở đây, 「簡単なほう」 (phía dễ) làm trạng ngữ chỉ điểm bắt đầu nhờ trợ từ 「から」. Động từ 「解く」 (giải đề) đi với 「ほうがよかった」 thể hiện sự hối hận vì phân bổ thời gian sai."
ほうだい,R－（たい）ほうだい,N2,①近所の子供たちは、後片付けもせずに、家の中を散らかし放題に散らかして帰っていった。,彼らは教師の注意を無視して、自分たちの言いたい放題に不満を並べ立てた。,彼らは教師の注意を無視して、,自分たちの,言いたい,放題に,不満を,並べ立てた。,Mẫu câu hành động vô tội vạ 「V-たい放題」 (muốn làm gì thì làm thỏa thích). Cụm 「言いたい」 (muốn nói) kết hợp với 「放題」 tạo thành trạng từ 「言いたい放題に」 để bổ nghĩa cho hành động 「不満を並べ立てた」 (vạch ra những sự bất mãn một cách tràn lan).
ほうだい,R－ほうだい,N3,①バイキング料理というのは、同じ料金で食べほうだいの料理のことだ。,この電子図書館のサービスは、会員登録さえすれば学術論文がいつでも読み放題だ。,この電子図書館のサービスは、,会員登録さえすれば,学術論文が,いつでも,読み,放題だ。,Mẫu ngữ pháp 「R-ほうだい」 (đọc/làm thỏa thích không giới hạn). Động từ 「読む」 chuyển về thể liên dụng (bỏ -masu) thành 「読み」 rồi kết hợp trực tiếp với danh từ 「放題」 tạo thành vị ngữ 「読み放題だ」 (tha hồ đọc) ở cuối câu.
ほか,～ほか　Nのほか］　Naなほか　A／V　ほか,N3,①今日のパーティーには、学生のほかに先生方もお呼びしてある。,物理の試験に合格するためには、公式を暗記するほかに過去問を解く必要がある。,物理の試験に合格するためには、公式を,暗記する,ほかに,過去問を,解く必要がある。,,Mẫu ngữ pháp 「V-るほかに」 (ngoài việc làm V ra thì...). Động từ 「暗記する」 (ghi nhớ) ở thể từ điển kết hợp với 「ほかに」 tạo thành nghĩa 「ngoài việc học thuộc lòng công thức」. Mệnh đề tiếp theo bổ sung hành động bắt buộc song song: 「過去問を解く必要がある」 (cần giải đề cũ).
ほか,Nほか,N2,①田中他三名が出席します。,次回の学術セミナーには、ノーベル賞受賞者他多くの専門家がパネリストとして登壇します。,次回の学術セミナーには、,ノーベル賞受賞者,他,多くの専門家が,パネリストとして,登壇します。,Hậu tố 「他」 (đọc là ほか hoặc た) đi trực tiếp sau danh từ chỉ đối tượng 「ノーベル賞受賞者」 mang nghĩa là 「và những người khác ngoài...」. Cụm danh từ liên kết này làm chủ ngữ chính cho động từ 「登壇します」 (lên phát biểu) với tư cách 「パネリストとして」 (diễn giả khách mời).
